num_qubits,max,time,depth,gates
3,3,0.0013753340000000058,12,15,
3,2,0.0014024590000003556,15,20,
3,2,0.9558999999999997,29,5,
4,4,0.0016879999999996897,14,19,
4,2,0.0016958339999995076,29,42,
4,3,0.0016923750000001903,17,24,
4,2,0.5032150829999997,167,5,
5,5,0.0017040839999999946,16,21,
5,2,0.0017138340000002472,67,98,
5,3,0.0017104589999998865,31,44,
5,4,0.0017082500000000778,19,26,
5,2,1.9553529159999998,789,5,
6,6,0.0021719999999998407,18,27,
6,2,0.002184374999999683,177,266,
6,3,0.002180790999999793,69,104,
6,4,0.002178749999999674,33,50,
6,5,0.0021762499999997686,21,32,
6,2,9.649939792000001,3487,5,
7,7,0.0023940419999988194,20,29,
7,2,0.002408416999998053,503,754,
7,3,0.002403958999998679,179,268,
7,4,0.00240208399999986,71,106,
7,5,0.002408124999998762,35,52,
7,6,0.002399874999998275,23,34,
7,2,46.473916959,14479,5,
8,8,0.0026072089999971126,22,31,
8,2,0.0026247919999988767,1477,2214,
8,3,0.002619125999999028,505,756,
8,4,0.0026171679999933417,181,270,
8,5,0.002615042999998707,73,108,
8,6,0.002613208999996175,37,54,
8,7,0.002611458999993488,25,36,
8,2,216.630685125,56316,5,
