pkid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,1,commute,FakeKyiv,16,25.639423076923077,43.75,31.25,18
0,1,commute,FakeKyiv,16,25.326923076923077,62.5,56.25,18
0,1,commute,FakeKyiv,16,8.3,75.0,18.75,23
0,1,commute,FakeKyiv,16,23.333333333333332,62.5,12.5,18
0,1,commute,FakeKyiv,16,35.25,56.25,43.75,18
0,1,commute,FakeKyiv,16,17.5875,75.0,62.5,18
1,1,commute,FakeKyiv,16,725.15625,0,0,17
1,1,commute,FakeKyiv,16,987.71875,0,0,23
1,1,commute,FakeKyiv,16,650.09375,6.25,6.25,18
1,1,commute,FakeKyiv,16,1150.3125,0,0,15
1,1,commute,FakeKyiv,16,925.125,0,0,14
1,1,commute,FakeKyiv,16,812.78125,6.25,0,14
2,1,commute,FakeKyiv,16,46.822916666666664,18.75,0,15
2,1,commute,FakeKyiv,16,58.672916666666666,12.5,0,23
2,1,commute,FakeKyiv,16,29.798295454545453,25.0,18.75,17
2,1,commute,FakeKyiv,16,52.82102272727273,0,0,18
2,1,commute,FakeKyiv,16,48.696120689655174,12.5,0,20
2,1,commute,FakeKyiv,16,41.75,31.25,12.5,20
0,1,commute,FakeKyiv,64,16.6875,71.875,59.375,22
0,1,commute,FakeKyiv,64,15.75360576923077,70.3125,57.8125,22
0,1,commute,FakeKyiv,64,18.348958333333332,57.8125,4.6875,18
0,1,commute,FakeKyiv,64,10.423958333333333,75.0,10.9375,20
0,1,commute,FakeKyiv,64,27.671875,60.9375,51.5625,22
0,1,commute,FakeKyiv,64,23.9125,67.1875,56.25,19
1,1,commute,FakeKyiv,64,875.1875,3.125,1.5625,22
1,1,commute,FakeKyiv,64,1090.875,0,0,18
1,1,commute,FakeKyiv,64,909.6328125,3.125,0,17
1,1,commute,FakeKyiv,64,728.296875,6.25,3.125,26
1,1,commute,FakeKyiv,64,928.296875,4.6875,1.5625,18
1,1,commute,FakeKyiv,64,909.609375,3.125,1.5625,18
2,1,commute,FakeKyiv,64,35.2953125,20.3125,10.9375,17
2,1,commute,FakeKyiv,64,41.836979166666666,23.4375,14.0625,20
2,1,commute,FakeKyiv,64,47.03835227272727,12.5,3.125,24
2,1,commute,FakeKyiv,64,55.50497159090909,12.5,6.25,25
2,1,commute,FakeKyiv,64,46.86853448275862,10.9375,1.5625,21
2,1,commute,FakeKyiv,64,49.52209051724138,21.875,6.25,26
0,1,commute,FakeKyiv,256,21.563401442307693,62.109375,46.875,21
0,1,commute,FakeKyiv,256,23.563401442307693,57.03125,47.65625,21
0,1,commute,FakeKyiv,256,18.542708333333334,62.109375,10.15625,23
0,1,commute,FakeKyiv,256,16.603385416666665,65.234375,10.15625,22
