pkid,qubits,layers,use_decompose,transpile_time,depth,culled_depth,rss_usage
0,5,1,True,"(0.00244794599711895, 0.015405298676341772)",70,24,5.0390625
1,6,1,True,"(0.0028892005793750286, 0.017804833129048347)",87,30,4.6953125
2,7,1,True,"(0.002700876910239458, 0.019662381149828434)",104,36,5.60546875
3,8,1,True,"(0.0030056266114115715, 0.023305156268179417)",121,42,5.18359375
4,9,1,True,"(0.0039010453037917614, 0.04165290668606758)",138,48,5.1640625
5,10,1,True,"(0.0038021961227059364, 0.02765605878084898)",155,54,5.078125
6,11,1,True,"(0.005069174338132143, 0.05357254762202501)",172,60,5.0546875
7,12,1,True,"(0.004276120103895664, 0.03148135915398598)",189,66,5.07421875
0,5,1,False,"(0.007134004030376673, 5.281226423103362)",6150,1678,33.66015625
1,6,1,False,"(0.25811708299443126, 25.156977445818484)",33289,8960,112.828125
2,7,1,False,"(14.347013911698014, 107.57989941816777)",165562,44624,511.43359375
3,8,1,False,"(19.348307428881526, 540.3496752148494)",785754,211609,2195.15234375
4,9,1,False,"(23.161806575022638, 10578.697201306)",3622600,975242,9595.02734375
5,10,1,False,"(26.686505811754614, 72048.29551221104)",16372781,4406123,42355.640625
6,11,1,False,timeout,timeout,timeout,timeout
7,12,1,False,timeout,timeout,timeout,timeout
