demands,facilities,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
1,2,1,6,3,penalty,198.15887119388256,6.247844612762058,1.3181901769229156
1,2,2,6,3,penalty,139.12140052614072,14.991479050319825,2.1102643883189374
1,2,3,6,3,penalty,114.94413819882794,2.9989346192939927,0.038526342294372386
1,2,4,6,3,penalty,115.75434331011894,15.51694795827187,0.5259672897833247
1,2,5,6,3,penalty,94.12349742371765,23.04269475624703,9.461887339944594
1,2,1,6,3,cyclic,251.00000001503034,6.249999999999993,1.5624999531976753
1,2,2,6,3,cyclic,148.26175083515017,16.415014445191467,1.8828684644173421
1,2,3,6,3,cyclic,143.21398911428457,7.414798351706054,2.783515234253397
1,2,4,6,3,cyclic,112.15185656540905,26.747621334654742,2.9259557706966954
1,2,5,6,3,cyclic,126.62943710835695,9.294908675182842,1.0453559599662645
1,2,1,6,3,commute,0.5000000038285262,100.00000000000004,2.552350310424393e-07
1,2,2,6,3,commute,2.8532945117731856e-08,99.99999999999996,99.99999849873282
1,2,3,6,3,commute,9.76799654495153e-08,99.99999999999987,99.99998630248021
1,2,4,6,3,commute,0.004045487266447267,99.99999999999963,99.27690991400166
1,2,5,6,3,commute,0.005288318195711961,99.99999999999955,99.7076917449023
1,2,1,6,3,HEA,0.022339925773329217,99.98064721262023,99.9806471639565
1,2,2,6,3,HEA,75.68556657980912,40.87506020399617,9.823300379305575
1,2,3,6,3,HEA,59.71080862801151,72.12606468145832,62.78149677219367
1,2,4,6,3,HEA,168.30282411565622,6.5384146573989765,3.680280646348684
1,2,5,6,3,HEA,149.27492919632402,22.163146777199678,15.02626522075282
2,2,1,10,6,penalty,200.9838264199872,6.453059879671397,0.44523142015497186
2,2,2,10,6,penalty,336.7024575992102,0.625355608698112,0.0037973586775833677
2,2,3,10,6,penalty,259.5496007661836,4.130055649301819,0.28247112459830886
2,2,4,10,6,penalty,228.47543910000581,1.539026461994951,0.2867259843621881
2,2,5,10,6,penalty,173.91020341693007,0.4053757182930171,0.005804837109593142
2,2,1,10,6,cyclic,396.42023313590823,1.240088564423367,0.0036684669174206325
2,2,2,10,6,cyclic,306.4434507190241,7.593129414963139,0.14736549123158324
2,2,3,10,6,cyclic,240.3317630668996,3.7876778191366136,0.32415332935999347
2,2,4,10,6,cyclic,243.13105048094025,0.5634146818208443,0.2444362431545086
2,2,5,10,6,cyclic,198.99768980622798,7.5120195210441665,0.06269567806364071
2,2,1,10,6,commute,1.400000017068296,99.99999999999983,2.1335373850532237e-06
2,2,2,10,6,commute,1.1842295931141429,99.99999999999976,28.67212069868752
2,2,3,10,6,commute,0.2246330223503497,99.99999999999932,89.4721327794801
2,2,4,10,6,commute,0.33996124757050694,99.99999999999852,84.87599842661079
2,2,5,10,6,commute,0.4822434669306489,99.99999999999886,73.0484493906924
2,2,1,10,6,HEA,167.89387553028436,5.2649581374834335e-06,1.94098358404042e-16
2,2,2,10,6,HEA,157.2203278479863,37.33194081669369,6.928929965411231e-05
2,2,3,10,6,HEA,293.56102438894146,4.56377001961381,0.09639258346135061
2,2,4,10,6,HEA,303.21156015258214,4.977001760379247,3.4185276685723394
2,2,5,10,6,HEA,361.443268602044,0.5963758984945882,0.0973573761877062
2,3,1,15,8,penalty,321.2842815196498,1.7252142283433076,0.061167222376208794
2,3,2,15,8,penalty,543.4913223936542,0.012536849372292103,1.4964855773618016e-05
2,3,3,15,8,penalty,291.4297443826392,1.5116405375343607,0.07606127808867376
2,3,4,15,8,penalty,311.2500662642241,2.0063558672291064,0.01363032063108114
2,3,5,15,8,penalty,203.5588246640132,6.122816429117913,0.3328014672990939
2,3,1,15,8,cyclic,333.46722160007715,2.512663718026893,0.004225796866998187
2,3,2,15,8,cyclic,414.35151962381144,3.0734631793132854,0.0015713905646512888
2,3,3,15,8,cyclic,292.15079914660095,6.543185685369314,0.029772237909478968
2,3,4,15,8,cyclic,401.41674174149387,0.1383769876677853,0.00031870757622569037
2,3,5,15,8,cyclic,317.16713102911007,0.6231733219269251,0.033829514416193175
2,3,1,15,8,commute,1.332916948393396,99.99999999999989,8.059007755386066
2,3,2,15,8,commute,0.6557894857133416,99.99999999999967,24.145413001582515
2,3,3,15,8,commute,0.25638249523832035,99.99999999999939,65.33378772547236
2,3,4,15,8,commute,0.6685088228765561,99.99999999999922,12.097486177576085
2,3,5,15,8,commute,0.6191396821701172,99.99999999999852,44.103372659969224
2,3,1,15,8,HEA,287.4778174420906,0.0037532670836543376,2.6882748340047425e-07
2,3,2,15,8,HEA,494.2686774181633,3.411250512339983,5.043391431141992e-06
2,3,3,15,8,HEA,519.8366776652621,0.16738977104917785,3.407876783528374e-05
2,3,4,15,8,HEA,602.5428697265592,0.03806988454931418,0.00019995831961271485
2,3,5,15,8,HEA,619.0088040379521,0.10215817392001275,0.003086332355272604
3,3,1,21,12,penalty
3,3,2,21,12,penalty
3,3,3,21,12,penalty
3,3,4,21,12,penalty
3,3,5,21,12,penalty
3,3,1,21,12,cyclic
3,3,2,21,12,cyclic
3,3,3,21,12,cyclic
3,3,4,21,12,cyclic
3,3,5,21,12,cyclic
3,3,1,21,12,commute,0.142857144979905,99.9999999999998,7.429675418862591e-07
3,3,2,21,12,commute
3,3,3,21,12,commute
3,3,4,21,12,commute
3,3,5,21,12,commute
3,3,1,21,12,HEA
3,3,2,21,12,HEA
3,3,3,21,12,HEA
3,3,4,21,12,HEA
3,3,5,21,12,HEA
3,4,1,28,15,penalty
3,4,2,28,15,penalty
3,4,3,28,15,penalty
3,4,4,28,15,penalty
3,4,5,28,15,penalty
3,4,1,28,15,cyclic
3,4,2,28,15,cyclic
3,4,3,28,15,cyclic
3,4,4,28,15,cyclic
3,4,5,28,15,cyclic
3,4,1,28,15,commute
3,4,2,28,15,commute
3,4,3,28,15,commute
3,4,4,28,15,commute
3,4,5,28,15,commute
3,4,1,28,15,HEA
3,4,2,28,15,HEA
3,4,3,28,15,HEA
3,4,4,28,15,HEA
3,4,5,28,15,HEA
