Problem_Size,Variables,Constraints,Layers,MCX_Mode,penalty_depth,cyclic_depth,commute_depth,HEA_depth,penalty_culled_depth,cyclic_culled_depth,commute_culled_depth,HEA_culled_depth
"3, [[0, 1]]",12,6,1,constant,61,78,502,19,28,34,172,12
"3, [[0, 1], [1, 2]]",15,9,1,constant,73,90,1024,22,34,40,398,15
"4, [[0, 1]]",20,8,1,constant,159,180,831,27,93,99,311,20
"4, [[0, 1], [1, 2]]",24,12,1,constant,172,193,1614,31,99,105,650,24
"4, [[0, 1], [1, 2], [2, 3]]",28,16,1,constant,185,206,4887,35,105,111,2168,28
"3, [[0, 1]]",12,6,1,linear,61,78,502,19,28,34,172,12
"3, [[0, 1], [1, 2]]",15,9,1,linear,73,90,1300,22,34,40,578,15
"4, [[0, 1]]",20,8,1,linear,159,180,831,27,93,99,311,20
"4, [[0, 1], [1, 2]]",24,12,1,linear,172,193,2028,31,99,105,920,24
"4, [[0, 1], [1, 2], [2, 3]]",28,16,1,linear,185,206,2844,35,105,111,1307,28
