Problem_Size,Layers,Variables,Constraints,penalty_ARG,cyclic_ARG,commute_ARG,HEA_ARG,penalty_in_constraints_probs,cyclic_in_constraints_probs,commute_in_constraints_probs,HEA_in_constraints_probs,penalty_best_solution_probs,cyclic_best_solution_probs,commute_best_solution_probs,HEA_best_solution_probs
"3, [2, 1], [[0, 1], [1, 2]]",1,6,5,1280.5576171875,3.0,2.0,2.21875,7.6171875,100.0,100.0,99.90234375,2.24609375,100.0,0,99.90234375
"4, [3, 1], [[0, 1], [1, 2], [2, 3]]",1,8,6,1895.0390625,2.0,2.0,148.71875,0.68359375,100.0,100.0,84.66796875,0,0,0,0
"5, [4, 1], [[0, 1], [1, 2], [2, 3], [3, 4]]",1,10,7,3678.306640625,3.0,2.0,815.166015625,2.9296875,100.0,100.0,0,1.7578125,100.0,0,0
"5, [3, 2], [[0, 1], [1, 2], [2, 3], [3, 4]]",1,10,7,2058.7275390625,3.0,3.15234375,811.4384765625,2.24609375,100.0,100.0,0,0.1953125,0,0,0
"6, [3, 1, 1], [[0, 1], [1, 2], [2, 3], [3, 4]]",1,18,9,5830.5947265625,396.7802734375,396.75,2621.5166015625,0,0,0,0,0.09765625,0,0,0
"3, [2, 1], [[0, 1], [1, 2]]",2,6,5,1151.2236328125,3.0,3.0,800.1494140625,6.0546875,100.0,100.0,18.75,4.98046875,100.0,100.0,13.8671875
"4, [3, 1], [[0, 1], [1, 2], [2, 3]]",2,8,6,2297.4248046875,236.9443359375,2.9990234375,1194.619140625,0.9765625,74.12109375,100.0,6.4453125,0.87890625,72.94921875,99.90234375,6.4453125
"5, [4, 1], [[0, 1], [1, 2], [2, 3], [3, 4]]",2,10,7,3666.66796875,709.033203125,3.0,2423.0048828125,0.68359375,11.03515625,100.0,0,0,6.73828125,100.0,0
"5, [3, 2], [[0, 1], [1, 2], [2, 3], [3, 4]]",2,10,7,1694.5927734375,3.0,3.3994140625,1394.9375,2.734375,100.0,100.0,4.00390625,0.09765625,0,4.8828125,0
"6, [3, 1, 1], [[0, 1], [1, 2], [2, 3], [3, 4]]",2,18,9,6831.5263671875,396.7802734375,396.3935546875,5432.9296875,0,0,0,0,0,0,5.37109375,0.1953125
