pkid,layers,method,backend,transpile_time,latency
0,7,penalty,ibm_osaka,0.3846483677625656,55459.555555555795
0,7,cyclic,ibm_osaka,0.4394611828029156,67022.22222222264
0,1,commute,ibm_osaka,0.3241244526579976,58268.4444444447
0,7,HEA,ibm_osaka,0.2391484184190631,69660.44444444485
0,7,penalty,ibm_fez,0.2529106643050909,13684
0,7,cyclic,ibm_fez,0.3671530783176422,17068
0,1,commute,ibm_fez,0.3045809604227543,16744
0,7,HEA,ibm_fez,0.18869266379624605,15348
0,7,penalty,ibm_sherbrooke,0.33013607934117317,66780
0,7,cyclic,ibm_sherbrooke,0.3510802835226059,79200
0,1,commute,ibm_sherbrooke,0.31706118397414684,63660
0,7,HEA,ibm_sherbrooke,0.2143211541697383,86220
1,7,penalty,ibm_osaka,1.2825309932231903,343175.1111111062
1,7,cyclic,ibm_osaka,1.439935035072267,462499.55555553874
1,1,commute,ibm_osaka,0.8326817862689495,289578.6666666669
1,7,HEA,ibm_osaka,0.17987611889839172,53162.666666666875
1,7,penalty,ibm_fez,1.1955105541273952,110016
1,7,cyclic,ibm_fez,1.243562439456582,94576
1,1,commute,ibm_fez,0.7279687970876694,69348
1,7,HEA,ibm_fez,0.13322798162698746,12156
1,7,penalty,ibm_sherbrooke,1.368186547420919,496980
1,7,cyclic,ibm_sherbrooke,1.5740600051358342,476220
1,1,commute,ibm_sherbrooke,0.9002223694697022,366060
1,7,HEA,ibm_sherbrooke,0.1700155632570386,60000
2,7,penalty,ibm_osaka,0.8588530877605081,260992.00000000288
2,7,cyclic,ibm_osaka,1.0188205009326339,276309.33333333477
2,1,commute,ibm_osaka,0.5922348899766803,192405.33333333512
2,7,HEA,ibm_osaka,0.33678193390369415,84600.88888888946
2,7,penalty,ibm_fez,0.6508261393755674,57032
2,7,cyclic,ibm_fez,0.9987713834270835,76572
2,1,commute,ibm_fez,0.46222608629614115,42760
2,7,HEA,ibm_fez,0.26564121805131435,17940
2,7,penalty,ibm_sherbrooke,0.7095152866095304,349920
2,7,cyclic,ibm_sherbrooke,1.0193123063072562,349500
2,1,commute,ibm_sherbrooke,0.6622468372806907,238440
2,7,HEA,ibm_sherbrooke,0.3309037107974291,97020
