pkid,pbid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,0,7,penalty,ibm_fez,1024,57.374934895833334,10.15625,3.02734375,36
0,0,7,cyclic,ibm_fez,1024,54.539713541666664,9.375,1.7578125,36
0,0,1,commute,ibm_fez,1024,24.850390625,48.33984375,5.078125,33
0,0,7,HEA,ibm_fez,1024,60.128125,9.66796875,3.61328125,36
1,0,7,penalty,ibm_fez,1024,1255.4072265625,0.48828125,0.48828125,36
1,0,7,cyclic,ibm_fez,1024,951.146484375,0.87890625,0.5859375,36
1,0,1,commute,ibm_fez,1024,854.26220703125,3.02734375,0.9765625,30
1,0,7,HEA,ibm_fez,1024,1165.73486328125,0.48828125,0.29296875,36
2,0,7,penalty,ibm_fez,1024,73.98499644886364,2.63671875,0.68359375,36
2,0,7,cyclic,ibm_fez,1024,71.1151455965909,2.5390625,0.48828125,36
2,0,1,commute,ibm_fez,1024,74.87846235795455,2.9296875,1.46484375,27
2,0,7,HEA,ibm_fez,1024,71.84503728693181,2.24609375,0.68359375,36
0,0,7,penalty,ibm_osaka,1024,52.283474392361114,7.51953125,2.1484375,36
0,0,7,cyclic,ibm_osaka,1024,56.617404513888886,8.30078125,2.734375,36
0,0,1,commute,ibm_osaka,1024,36.495442708333336,14.55078125,6.93359375,27
0,0,7,HEA,ibm_osaka,1024,57.73876953125,7.8125,1.66015625,36
1,0,7,penalty,ibm_osaka,1024,1177.6640625,0.48828125,0.29296875,36
1,0,7,cyclic,ibm_osaka,1024,1253.64501953125,0.390625,0.390625,36
1,0,1,commute,ibm_osaka,1024,1254.23291015625,0.48828125,0.29296875,26
1,0,7,HEA,ibm_osaka,1024,1210.4658203125,0.1953125,0,36
2,0,7,penalty,ibm_osaka,1024,74.2862215909091,2.9296875,0.87890625,36
2,0,7,cyclic,ibm_osaka,1024,74.8661221590909,2.24609375,0.78125,36
2,0,1,commute,ibm_osaka,1024,70.2071200284091,3.41796875,1.3671875,27
2,0,7,HEA,ibm_osaka,1024,73.81613991477273,2.63671875,0.5859375,36
0,0,7,penalty,ibm_sherbrooke,1024,62.7904296875,6.15234375,1.5625,51
0,0,7,cyclic,ibm_sherbrooke,1024,66.73606770833334,7.12890625,2.63671875,51
0,0,1,commute,ibm_sherbrooke,1024,46.12350260416667,11.71875,6.25,27
0,0,7,HEA,ibm_sherbrooke,1024,66.98287760416666,5.95703125,1.46484375,51
1,0,7,penalty,ibm_sherbrooke,1024,1235.8837890625,0.1953125,0,51
1,0,7,cyclic,ibm_sherbrooke,1024,1237.42822265625,0.5859375,0.48828125,51
1,0,1,commute,ibm_sherbrooke,1024,1283.3671875,0.48828125,0.390625,28
1,0,7,HEA,ibm_sherbrooke,1024,1163.396484375,0.390625,0.09765625,51
2,0,7,penalty,ibm_sherbrooke,1024,71.93568004261364,2.05078125,0.5859375,51
2,0,7,cyclic,ibm_sherbrooke,1024,72.81858132102273,2.24609375,0.29296875,51
2,0,1,commute,ibm_sherbrooke,1024,75.18798828125,1.953125,0.78125,33
2,0,7,HEA,ibm_sherbrooke,1024,73.34765625,2.83203125,0.78125,51

