pkid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,1,commute,FakeBrisbane,16,22.135470085470086,60.416666666666664,37.5,15.666666666666666
0,1,commute,FakeBrisbane,64,23.372702991452993,58.333333333333336,39.0625,21.0
0,1,commute,FakeBrisbane,256,23.347409188034188,60.15625,35.026041666666664,26.666666666666668
0,1,commute,FakeBrisbane,1024,24.350689436431622,59.407552083333336,35.319010416666664,26.666666666666668
0,1,commute,FakeBrisbane,4096,25.888597172142095,58.251953125,35.530598958333336,30.333333333333332
0,1,commute,FakeKyiv,16,22.338675213675213,60.416666666666664,37.5,18.666666666666668
0,1,commute,FakeKyiv,64,17.902991452991454,69.79166666666667,46.875,20.0
0,1,commute,FakeKyiv,256,23.250260416666666,60.416666666666664,34.114583333333336,25.0
0,1,commute,FakeKyiv,1024,22.463948985042734,61.81640625,36.653645833333336,31.333333333333332
0,1,commute,FakeKyiv,4096,22.35235126201923,62.003580729166664,37.451171875,29.666666666666668
0,1,commute,FakeTorino,16,20.302777777777777,66.66666666666667,41.666666666666664,18.666666666666668
0,1,commute,FakeTorino,64,15.142094017094017,71.875,40.104166666666664,19.333333333333332
0,1,commute,FakeTorino,256,20.538214476495728,63.151041666666664,37.5,21.0
0,1,commute,FakeTorino,1024,20.09726061698718,64.0625,39.127604166666664,26.333333333333332
0,1,commute,FakeTorino,4096,21.246953876201925,61.979166666666664,37.858072916666664,29.333333333333332
0,10,HEA,FakeBrisbane,16,49.69594017094017,20.833333333333332,8.333333333333334,151.0
0,10,HEA,FakeBrisbane,64,60.64139957264957,13.541666666666666,2.0833333333333335,151.0
0,10,HEA,FakeBrisbane,256,73.00102163461538,8.072916666666666,2.0833333333333335,151.0
0,10,HEA,FakeBrisbane,1024,71.51836438301282,8.821614583333334,1.5950520833333333,151.0
0,10,HEA,FakeBrisbane,4096,72.33452774439102,8.992513020833334,2.3763020833333335,151.0
0,10,HEA,FakeKyiv,16,46.13878205128205,14.583333333333334,2.0833333333333335,151.0
0,10,HEA,FakeKyiv,64,64.25462072649573,7.291666666666667,2.0833333333333335,151.0
0,10,HEA,FakeKyiv,256,68.6490718482906,10.546875,3.3854166666666665,151.0
0,10,HEA,FakeKyiv,1024,74.10680255074787,6.73828125,1.7252604166666667,151.0
0,10,HEA,FakeKyiv,4096,73.00140474759615,9.7900390625,2.1240234375,151.0
0,10,HEA,FakeTorino,16,49.24465811965812,10.416666666666666,2.0833333333333335,151.0
0,10,HEA,FakeTorino,64,61.46498397435897,12.5,1.5625,151.0
0,10,HEA,FakeTorino,256,67.31185229700854,9.765625,2.734375,151.0
0,10,HEA,FakeTorino,1024,67.34026609241452,11.490885416666666,2.8645833333333335,151.0
0,10,HEA,FakeTorino,4096,65.40463449853098,11.612955729166666,3.1005859375,151.0
0,10,cyclic,FakeBrisbane,16,46.73247863247863,22.916666666666668,0.0,112.0
0,10,cyclic,FakeBrisbane,64,53.11260683760684,12.5,3.125,136.66666666666666
0,10,cyclic,FakeBrisbane,256,61.08867521367521,13.671875,5.859375,142.66666666666666
0,10,cyclic,FakeBrisbane,1024,59.832680622329065,12.565104166666666,2.1809895833333335,147.66666666666666
0,10,cyclic,FakeBrisbane,4096,61.222442992120726,14.607747395833334,3.1331380208333335,137.33333333333334
0,10,cyclic,FakeKyiv,16,43.251709401709405,8.333333333333334,0.0,113.66666666666667
0,10,cyclic,FakeKyiv,64,54.014075854700856,19.270833333333332,5.208333333333333,130.0
0,10,cyclic,FakeKyiv,256,64.20160256410257,10.286458333333334,2.0833333333333335,136.66666666666666
0,10,cyclic,FakeKyiv,1024,62.80159588675213,14.16015625,3.02734375,142.66666666666666
0,10,cyclic,FakeKyiv,4096,63.216917484642096,14.599609375,5.908203125,145.66666666666666
0,10,cyclic,FakeTorino,16,49.466987179487184,10.416666666666666,2.0833333333333335,107.0
0,10,cyclic,FakeTorino,64,39.92590811965812,30.208333333333332,7.291666666666667,125.0
0,10,cyclic,FakeTorino,256,40.83315972222223,31.640625,3.2552083333333335,146.66666666666666
0,10,cyclic,FakeTorino,1024,50.78634147970086,19.270833333333332,2.3111979166666665,149.33333333333334
0,10,cyclic,FakeTorino,4096,52.51498355702457,19.694010416666668,4.3212890625,145.66666666666666
0,10,penalty,FakeBrisbane,16,55.71613247863248,8.333333333333334,2.0833333333333335,112.66666666666667
0,10,penalty,FakeBrisbane,64,55.93189102564103,13.541666666666666,2.6041666666666665,123.66666666666667
0,10,penalty,FakeBrisbane,256,64.68797409188035,10.677083333333334,2.4739583333333335,134.33333333333334
0,10,penalty,FakeBrisbane,1024,70.65769898504273,9.244791666666666,2.3763020833333335,149.0
0,10,penalty,FakeBrisbane,4096,59.347414196047005,11.735026041666666,1.611328125,138.0
0,10,penalty,FakeKyiv,16,51.39102564102564,12.5,0.0,121.66666666666667
0,10,penalty,FakeKyiv,64,60.37088675213675,14.0625,3.125,132.0
0,10,penalty,FakeKyiv,256,61.29822382478633,12.369791666666666,5.208333333333333,137.66666666666666
0,10,penalty,FakeKyiv,1024,68.3022936698718,7.584635416666667,2.1809895833333335,139.66666666666666
0,10,penalty,FakeKyiv,4096,62.707974008413466,12.190755208333334,3.0680338541666665,151.0
0,10,penalty,FakeTorino,16,42.611538461538466,10.416666666666666,0.0,129.33333333333334
0,10,penalty,FakeTorino,64,52.24716880341881,18.229166666666668,9.895833333333334,127.66666666666667
0,10,penalty,FakeTorino,256,56.95657051282052,11.979166666666666,2.34375,143.0
0,10,penalty,FakeTorino,1024,60.63073083600427,10.904947916666666,5.37109375,141.33333333333334
0,10,penalty,FakeTorino,4096,61.06046925080128,11.319986979166666,2.1565755208333335,151.0
1,1,commute,FakeBrisbane,16,1062.7708333333333,0.0,0.0,14.0
1,1,commute,FakeBrisbane,64,957.5234375,4.166666666666667,3.6458333333333335,23.666666666666668
1,1,commute,FakeBrisbane,256,887.7135416666666,3.6458333333333335,2.4739583333333335,26.333333333333332
1,1,commute,FakeBrisbane,1024,991.94677734375,2.83203125,1.7903645833333333,27.0
1,1,commute,FakeBrisbane,4096,937.9447428385416,3.0110677083333335,2.1321614583333335,27.666666666666668
1,1,commute,FakeKyiv,16,804.3645833333334,0.0,0.0,18.333333333333332
1,1,commute,FakeKyiv,64,882.5104166666666,3.125,1.5625,19.0
1,1,commute,FakeKyiv,256,922.6360677083334,3.515625,2.2135416666666665,21.666666666666668
1,1,commute,FakeKyiv,1024,903.4339192708334,2.7018229166666665,2.0833333333333335,27.333333333333332
1,1,commute,FakeKyiv,4096,907.7135416666666,3.2389322916666665,2.3274739583333335,28.666666666666668
1,1,commute,FakeTorino,16,808.5729166666666,8.333333333333334,4.166666666666667,18.0
1,1,commute,FakeTorino,64,778.2838541666666,6.770833333333333,5.208333333333333,23.666666666666668
1,1,commute,FakeTorino,256,832.5,5.46875,4.557291666666667,21.666666666666668
1,1,commute,FakeTorino,1024,777.56005859375,8.59375,6.15234375,27.333333333333332
1,1,commute,FakeTorino,4096,809.2274576822916,7.454427083333333,5.354817708333333,28.666666666666668
1,10,HEA,FakeBrisbane,16,875.2708333333334,0.0,0.0,151.0
1,10,HEA,FakeBrisbane,64,992.9713541666666,1.0416666666666667,1.0416666666666667,151.0
1,10,HEA,FakeBrisbane,256,1137.28125,0.5208333333333334,0.390625,151.0
1,10,HEA,FakeBrisbane,1024,1174.7890625,0.2604166666666667,0.13020833333333334,151.0
1,10,HEA,FakeBrisbane,4096,1184.591552734375,0.4231770833333333,0.29296875,151.0
1,10,HEA,FakeKyiv,16,896.125,0.0,0.0,151.0
1,10,HEA,FakeKyiv,64,1151.3567708333333,0.0,0.0,151.0
1,10,HEA,FakeKyiv,256,1146.4010416666667,0.2604166666666667,0.2604166666666667,151.0
1,10,HEA,FakeKyiv,1024,1149.7115885416667,0.6184895833333334,0.390625,151.0
1,10,HEA,FakeKyiv,4096,1164.3577473958333,0.439453125,0.2766927083333333,151.0
1,10,HEA,FakeTorino,16,858.5729166666666,0.0,0.0,151.0
1,10,HEA,FakeTorino,64,988.8567708333334,0.5208333333333334,0.0,151.0
1,10,HEA,FakeTorino,256,1084.6790364583333,0.5208333333333334,0.13020833333333334,151.0
1,10,HEA,FakeTorino,1024,1126.65771484375,0.48828125,0.29296875,151.0
1,10,HEA,FakeTorino,4096,1154.7015380859375,0.5696614583333334,0.3499348958333333,151.0
1,10,cyclic,FakeBrisbane,16,846.1666666666666,2.0833333333333335,2.0833333333333335,114.66666666666667
1,10,cyclic,FakeBrisbane,64,1028.421875,1.5625,1.0416666666666667,121.0
1,10,cyclic,FakeBrisbane,256,1077.3860677083333,0.78125,0.6510416666666666,137.0
1,10,cyclic,FakeBrisbane,1024,1133.8971354166667,0.8138020833333334,0.6184895833333334,143.33333333333334
1,10,cyclic,FakeBrisbane,4096,1117.5279541015625,0.5452473958333334,0.3499348958333333,151.0
1,10,cyclic,FakeKyiv,16,996.125,0.0,0.0,106.33333333333333
1,10,cyclic,FakeKyiv,64,1030.515625,0.0,0.0,131.0
1,10,cyclic,FakeKyiv,256,1057.0592447916667,0.6510416666666666,0.390625,141.66666666666666
1,10,cyclic,FakeKyiv,1024,1118.1446940104167,0.5533854166666666,0.3580729166666667,145.0
1,10,cyclic,FakeKyiv,4096,1150.3711751302083,0.5696614583333334,0.3662109375,148.33333333333334
1,10,cyclic,FakeTorino,16,841.90625,0.0,0.0,109.0
1,10,cyclic,FakeTorino,64,880.4375,1.0416666666666667,1.0416666666666667,129.66666666666666
1,10,cyclic,FakeTorino,256,1004.9407552083334,0.2604166666666667,0.13020833333333334,141.0
1,10,cyclic,FakeTorino,1024,1003.0001627604166,1.0091145833333333,0.6510416666666666,147.33333333333334
1,10,cyclic,FakeTorino,4096,982.69287109375,0.9928385416666666,0.68359375,151.0
1,10,penalty,FakeBrisbane,16,937.7604166666666,2.0833333333333335,0.0,115.0
1,10,penalty,FakeBrisbane,64,1035.6979166666667,0.5208333333333334,0.0,117.66666666666667
1,10,penalty,FakeBrisbane,256,1091.9641927083333,0.9114583333333334,0.9114583333333334,136.33333333333334
1,10,penalty,FakeBrisbane,1024,1125.9591471354167,0.48828125,0.3255208333333333,149.0
1,10,penalty,FakeBrisbane,4096,1089.8524576822917,0.5045572916666666,0.3011067708333333,147.33333333333334
1,10,penalty,FakeKyiv,16,804.40625,4.166666666666667,4.166666666666667,106.33333333333333
1,10,penalty,FakeKyiv,64,977.3541666666666,0.5208333333333334,0.0,123.66666666666667
1,10,penalty,FakeKyiv,256,1018.5364583333334,0.6510416666666666,0.390625,141.66666666666666
1,10,penalty,FakeKyiv,1024,1087.4083658854167,0.5208333333333334,0.29296875,151.0
1,10,penalty,FakeKyiv,4096,1128.1042887369792,0.5289713541666666,0.3336588541666667,147.0
1,10,penalty,FakeTorino,16,908.6770833333334,2.0833333333333335,2.0833333333333335,115.33333333333333
1,10,penalty,FakeTorino,64,960.7005208333334,1.0416666666666667,1.0416666666666667,130.33333333333334
1,10,penalty,FakeTorino,256,1049.5201822916667,0.78125,0.390625,142.0
1,10,penalty,FakeTorino,1024,1101.9269205729167,0.78125,0.5208333333333334,149.33333333333334
1,10,penalty,FakeTorino,4096,988.62255859375,0.7649739583333334,0.537109375,151.0
2,1,commute,FakeBrisbane,16,52.210347004528046,27.083333333333332,8.333333333333334,18.666666666666668
2,1,commute,FakeBrisbane,64,51.721073341170325,14.583333333333334,6.25,21.333333333333332
2,1,commute,FakeBrisbane,256,53.96234162748171,14.713541666666666,8.463541666666666,25.666666666666668
2,1,commute,FakeBrisbane,1024,53.07836395338078,13.76953125,8.528645833333334,28.333333333333332
2,1,commute,FakeBrisbane,4096,54.39526079763149,15.079752604166666,8.829752604166666,29.0
2,1,commute,FakeKyiv,16,52.95392067223963,18.75,10.416666666666666,19.333333333333332
2,1,commute,FakeKyiv,64,54.94089766196447,15.625,8.854166666666666,22.0
2,1,commute,FakeKyiv,256,57.846693497474746,13.802083333333334,7.8125,24.666666666666668
2,1,commute,FakeKyiv,1024,53.19249448281304,15.0390625,6.510416666666667,31.666666666666668
2,1,commute,FakeKyiv,4096,54.66252455012136,13.9892578125,8.797200520833334,32.333333333333336
2,1,commute,FakeTorino,16,45.09213035527691,31.25,20.833333333333332,20.0
2,1,commute,FakeTorino,64,44.38081950975269,22.916666666666668,16.666666666666668,19.333333333333332
2,1,commute,FakeTorino,256,41.33253888562348,28.255208333333332,20.052083333333332,22.666666666666668
2,1,commute,FakeTorino,1024,46.35624414946883,22.16796875,17.252604166666668,33.0
2,1,commute,FakeTorino,4096,41.62184031349323,26.1962890625,20.068359375,31.333333333333332
2,10,HEA,FakeBrisbane,16,59.54433559735284,6.25,2.0833333333333335,151.0
2,10,HEA,FakeBrisbane,64,70.0765314785789,2.0833333333333335,0.5208333333333334,151.0
2,10,HEA,FakeBrisbane,256,71.72007113157436,2.6041666666666665,0.9114583333333334,151.0
2,10,HEA,FakeBrisbane,1024,75.39348056943356,2.1158854166666665,0.390625,151.0
2,10,HEA,FakeBrisbane,4096,76.12849095582713,2.4088541666666665,0.5045572916666666,151.0
2,10,HEA,FakeKyiv,16,62.08377525252525,6.25,0.0,151.0
2,10,HEA,FakeKyiv,64,69.72817996778126,7.8125,2.6041666666666665,151.0
2,10,HEA,FakeKyiv,256,72.00173679140543,3.2552083333333335,1.171875,151.0
2,10,HEA,FakeKyiv,1024,75.48360521295933,2.3111979166666665,0.78125,151.0
2,10,HEA,FakeKyiv,4096,75.08735470614006,1.9775390625,0.6591796875,151.0
2,10,HEA,FakeTorino,16,49.70310431905259,12.5,4.166666666666667,151.0
2,10,HEA,FakeTorino,64,65.41077858324626,3.6458333333333335,2.0833333333333335,151.0
2,10,HEA,FakeTorino,256,69.29556788248868,4.427083333333333,1.0416666666666667,151.0
2,10,HEA,FakeTorino,1024,71.5520470056165,2.7018229166666665,0.68359375,151.0
2,10,HEA,FakeTorino,4096,71.24862706401298,2.490234375,0.8382161458333334,151.0
2,10,cyclic,FakeBrisbane,16,52.3348833159178,8.333333333333334,0.0,130.33333333333334
2,10,cyclic,FakeBrisbane,64,65.74989006443748,3.125,1.0416666666666667,133.33333333333334
2,10,cyclic,FakeBrisbane,256,71.31825637843957,2.9947916666666665,1.4322916666666667,143.0
