pkid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,10,penalty,FakeKyiv,16,46.36057692307692,12.5,0,116
0,10,cyclic,FakeKyiv,16,35.78846153846154,12.5,0,110
0,1,commute,FakeKyiv,16,25.182692307692307,56.25,50.0,19
0,10,HEA,FakeKyiv,16,54.34134615384615,6.25,0,151
0,10,penalty,FakeKyiv,16,40.0375,6.25,0,124
0,10,cyclic,FakeKyiv,16,33.31666666666667,12.5,0,123
0,1,commute,FakeKyiv,16,26.595833333333335,50.0,0,19
0,10,HEA,FakeKyiv,16,38.4,18.75,6.25,151
0,10,penalty,FakeKyiv,16,67.775,18.75,0,125
0,10,cyclic,FakeKyiv,16,60.65,0,0,108
0,1,commute,FakeKyiv,16,15.2375,75.0,62.5,18
0,10,HEA,FakeKyiv,16,45.675,18.75,0,151
1,10,penalty,FakeKyiv,16,775.1875,0,0,118
1,10,cyclic,FakeKyiv,16,1000.3125,0,0,106
1,1,commute,FakeKyiv,16,925.1875,0,0,18
1,10,HEA,FakeKyiv,16,925.3125,0,0,151
1,10,penalty,FakeKyiv,16,912.71875,0,0,101
1,10,cyclic,FakeKyiv,16,912.6875,0,0,107
1,1,commute,FakeKyiv,16,812.71875,0,0,19
1,10,HEA,FakeKyiv,16,837.8125,0,0,151
1,10,penalty,FakeKyiv,16,725.3125,12.5,12.5,100
1,10,cyclic,FakeKyiv,16,1075.375,0,0,106
1,1,commute,FakeKyiv,16,675.1875,0,0,18
1,10,HEA,FakeKyiv,16,925.25,0,0,151
2,10,penalty,FakeKyiv,16,65.05416666666666,6.25,0,130
2,10,cyclic,FakeKyiv,16,46.81041666666667,6.25,0,111
2,1,commute,FakeKyiv,16,36.827083333333334,25.0,0,19
2,10,HEA,FakeKyiv,16,69.94166666666666,6.25,0,151
2,10,penalty,FakeKyiv,16,64.08238636363636,6.25,0,104
2,10,cyclic,FakeKyiv,16,57.01988636363637,6.25,0,124
2,1,commute,FakeKyiv,16,52.73295454545455,25.0,25.0,18
2,10,HEA,FakeKyiv,16,50.37215909090909,12.5,0,151
2,10,penalty,FakeKyiv,16,71.03448275862068,6.25,6.25,105
2,10,cyclic,FakeKyiv,16,50.3448275862069,0,0,119
2,1,commute,FakeKyiv,16,69.30172413793103,6.25,6.25,21
2,10,HEA,FakeKyiv,16,65.9375,0,0,151
0,10,penalty,FakeKyiv,64,62.15745192307692,10.9375,1.5625,146
0,10,cyclic,FakeKyiv,64,49.71514423076923,18.75,7.8125,145
0,1,commute,FakeKyiv,64,21.973557692307693,60.9375,53.125,19
0,10,HEA,FakeKyiv,64,62.00240384615385,12.5,4.6875,151
0,10,penalty,FakeKyiv,64,50.38645833333333,18.75,4.6875,131
0,10,cyclic,FakeKyiv,64,40.41458333333333,25.0,4.6875,124
0,1,commute,FakeKyiv,64,14.135416666666666,73.4375,20.3125,23
0,10,HEA,FakeKyiv,64,48.41458333333333,6.25,0,151
0,10,penalty,FakeKyiv,64,68.56875,12.5,3.125,119
0,10,cyclic,FakeKyiv,64,71.9125,14.0625,3.125,121
0,1,commute,FakeKyiv,64,17.6,75.0,67.1875,18
0,10,HEA,FakeKyiv,64,82.346875,3.125,1.5625,151
1,10,penalty,FakeKyiv,64,1075.296875,0,0,121
