pkid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,1,commute,FakeKyiv,16,17.735576923076923,68.75,43.75,18
0,1,commute,FakeKyiv,16,25.110576923076923,56.25,56.25,18
0,1,commute,FakeKyiv,16,26.6125,43.75,0,17
0,1,commute,FakeKyiv,16,13.395833333333334,81.25,31.25,20
0,1,commute,FakeKyiv,16,35.0,43.75,43.75,20
0,1,commute,FakeKyiv,16,5.1,87.5,81.25,21
1,1,commute,FakeKyiv,16,900.09375,6.25,6.25,18
1,1,commute,FakeKyiv,16,900.1875,6.25,6.25,17
1,1,commute,FakeKyiv,16,987.6875,6.25,6.25,15
1,1,commute,FakeKyiv,16,825.1875,0,0,21
1,1,commute,FakeKyiv,16,1075.25,0,0,18
1,1,commute,FakeKyiv,16,912.6875,6.25,6.25,17
2,1,commute,FakeKyiv,16,38.46875,18.75,12.5,19
2,1,commute,FakeKyiv,16,43.61875,12.5,0,22
2,1,commute,FakeKyiv,16,59.45170454545455,12.5,6.25,25
2,1,commute,FakeKyiv,16,61.88920454545455,12.5,6.25,17
2,1,commute,FakeKyiv,16,69.30172413793103,6.25,6.25,19
2,1,commute,FakeKyiv,16,29.584051724137932,37.5,31.25,18
0,1,commute,FakeKyiv,64,18.46033653846154,67.1875,60.9375,18
0,1,commute,FakeKyiv,64,19.971153846153847,65.625,59.375,18
0,1,commute,FakeKyiv,64,16.261458333333334,60.9375,6.25,20
0,1,commute,FakeKyiv,64,15.045833333333333,68.75,23.4375,21
0,1,commute,FakeKyiv,64,25.740625,64.0625,54.6875,21
0,1,commute,FakeKyiv,64,27.7,57.8125,43.75,21
1,1,commute,FakeKyiv,64,972.1484375,1.5625,1.5625,16
1,1,commute,FakeKyiv,64,856.46875,1.5625,1.5625,17
1,1,commute,FakeKyiv,64,931.5,3.125,0,21
1,1,commute,FakeKyiv,64,940.8984375,3.125,3.125,17
1,1,commute,FakeKyiv,64,940.9296875,4.6875,0,14
1,1,commute,FakeKyiv,64,753.3515625,6.25,6.25,26
2,1,commute,FakeKyiv,64,42.73072916666667,21.875,3.125,23
2,1,commute,FakeKyiv,64,47.69947916666667,14.0625,0,22
2,1,commute,FakeKyiv,64,52.10653409090909,17.1875,3.125,21
2,1,commute,FakeKyiv,64,54.49076704545455,9.375,4.6875,20
2,1,commute,FakeKyiv,64,52.82543103448276,10.9375,10.9375,23
2,1,commute,FakeKyiv,64,65.81357758620689,10.9375,9.375,19
0,1,commute,FakeKyiv,256,22.86778846153846,59.375,48.828125,30
0,1,commute,FakeKyiv,256,21.635216346153847,62.109375,49.21875,27
0,1,commute,FakeKyiv,256,22.589322916666667,57.03125,8.203125,22
0,1,commute,FakeKyiv,256,16.679166666666667,60.9375,9.375,24
0,1,commute,FakeKyiv,256,28.4390625,59.375,49.609375,23
0,1,commute,FakeKyiv,256,22.3765625,68.359375,53.90625,24
1,1,commute,FakeKyiv,256,936.1484375,3.125,1.953125,22
1,1,commute,FakeKyiv,256,950.21875,2.34375,1.953125,26
1,1,commute,FakeKyiv,256,947.09375,1.5625,1.171875,22
1,1,commute,FakeKyiv,256,885.34765625,2.34375,2.34375,26
1,1,commute,FakeKyiv,256,879.900390625,5.078125,3.515625,27
1,1,commute,FakeKyiv,256,968.9921875,1.5625,1.171875,18
2,1,commute,FakeKyiv,256,53.840625,12.5,3.125,26
2,1,commute,FakeKyiv,256,54.64869791666667,11.328125,0,20
2,1,commute,FakeKyiv,256,61.00372869318182,14.453125,8.984375,26
2,1,commute,FakeKyiv,256,55.00905539772727,10.546875,5.46875,24
2,1,commute,FakeKyiv,256,56.539870689655174,17.96875,9.765625,24
2,1,commute,FakeKyiv,256,58.323410560344826,14.453125,8.984375,20
0,1,commute,FakeKyiv,1024
