pkid,pbid,layers,method,backend,shots,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,0,7,penalty,ibm_fez,1024,57.3749349,10.15625,3.02734375,141
0,0,7,cyclic,ibm_fez,1024,54.53971354,9.375,1.7578125,149
0,0,1,commute,ibm_fez,1024,24.85039063,48.33984375,5.078125,33
0,0,7,HEA,ibm_fez,1024,60.128125,9.66796875,3.61328125,151
1,0,7,penalty,ibm_fez,1024,1255.407227,0.48828125,0.48828125,149
1,0,7,cyclic,ibm_fez,1024,951.1464844,0.87890625,0.5859375,147
1,0,1,commute,ibm_fez,1024,854.262207,3.02734375,0.9765625,33
1,0,7,HEA,ibm_fez,1024,1165.734863,0.48828125,0.29296875,151
2,0,7,penalty,ibm_fez,1024,73.98499645,2.63671875,0.68359375,136
2,0,7,cyclic,ibm_fez,1024,71.1151456,2.5390625,0.48828125,144
2,0,1,commute,ibm_fez,1024,74.87846236,2.9296875,1.46484375,33
2,0,7,HEA,ibm_fez,1024,71.84503729,2.24609375,0.68359375,151
0,0,7,penalty,ibm_osaka,1024,52.28347439,7.51953125,2.1484375,140
0,0,7,cyclic,ibm_osaka,1024,56.61740451,8.30078125,2.734375,143
0,0,1,commute,ibm_osaka,1024,36.49544271,14.55078125,6.93359375,27
0,0,7,HEA,ibm_osaka,1024,57.73876953,7.8125,1.66015625,151
1,0,7,penalty,ibm_osaka,1024,1177.664063,0.48828125,0.29296875,151
1,0,7,cyclic,ibm_osaka,1024,1253.64502,0.390625,0.390625,145
1,0,1,commute,ibm_osaka,1024,1254.23291,0.48828125,0.29296875,26
1,0,7,HEA,ibm_osaka,1024,1210.46582,0.1953125,0,151
2,0,7,penalty,ibm_osaka,1024,74.28622159,2.9296875,0.87890625,135
2,0,7,cyclic,ibm_osaka,1024,74.86612216,2.24609375,0.78125,130
2,0,1,commute,ibm_osaka,1024,70.20712003,3.41796875,1.3671875,27
2,0,7,HEA,ibm_osaka,1024,73.81613991,2.63671875,0.5859375,151
0,0,7,penalty,ibm_sherbrooke,1024,62.79042969,6.15234375,1.5625,149
0,0,7,cyclic,ibm_sherbrooke,1024,66.73606771,7.12890625,2.63671875,148
0,0,1,commute,ibm_sherbrooke,1024,46.1235026,11.71875,6.25,27
0,0,7,HEA,ibm_sherbrooke,1024,66.9828776,5.95703125,1.46484375,151
1,0,7,penalty,ibm_sherbrooke,1024,1235.883789,0.1953125,0,149
1,0,7,cyclic,ibm_sherbrooke,1024,1237.428223,0.5859375,0.48828125,143
1,0,1,commute,ibm_sherbrooke,1024,1283.367188,0.48828125,0.390625,28
1,0,7,HEA,ibm_sherbrooke,1024,1163.396484,0.390625,0.09765625,151
2,0,7,penalty,ibm_sherbrooke,1024,71.93568004,2.05078125,0.5859375,137
2,0,7,cyclic,ibm_sherbrooke,1024,72.81858132,2.24609375,0.29296875,132
2,0,1,commute,ibm_sherbrooke,1024,75.18798828,1.953125,0.78125,33
2,0,7,HEA,ibm_sherbrooke,1024,73.34765625,2.83203125,0.78125,151
