pkid,backend,strategy,depth,culled_depth,transpile_time
0,AerSimulator,"[1, 0, 0]",16658,4505,"(0.263156377710402, 9.12422273028642)"
0,AerSimulator,"[1, 1, 0]",974,377,"(0.006570037454366684, 0.2655854718759656)"
0,AerSimulator,"[1, 0, 1]",798,215,"(0.15987842250615358, 0.6801555762067437)"
0,AerSimulator,"[1, 1, 1]",547,176,"(0.009842678904533386, 0.26921993773430586)"
1,AerSimulator,"[1, 0, 0]",26563,7155,"(0.22368592582643032, 15.904715334996581)"
1,AerSimulator,"[1, 1, 0]",1022,396,"(0.006490199826657772, 0.38273085560649633)"
1,AerSimulator,"[1, 0, 1]",14017,3796,"(0.1927209896966815, 7.701638588681817)"
1,AerSimulator,"[1, 1, 1]",750,271,"(0.008416092954576015, 0.2427291553467512)"
2,AerSimulator,"[1, 0, 0]",3030,832,"(0.21742813847959042, 1.712990252301097)"
2,AerSimulator,"[1, 1, 0]",1204,386,"(0.008250728249549866, 0.3345750756561756)"
2,AerSimulator,"[1, 0, 1]",3302,892,"(0.039267552085220814, 1.5475818067789078)"
2,AerSimulator,"[1, 1, 1]",1063,327,"(0.010340383276343346, 0.2555328542366624)"
