pkid,backend,strategy,depth,culled_depth,transpile_time
0,FakeKyiv,"[1, 2]",374,104,"(0.0012943640031153336, 0.7089344690029975)"
0,FakeKyiv,"[1, 1]",397,111,"(0.0016028110112529248, 0.8342217030003667)"
0,FakeKyiv,"[1, 0]",485,131,"(0.0016051940037868917, 0.24625414499314502)"
0,FakeKyiv,"[0, 2]",937,226,"(0.05729676199553069, 1.0767796669970267)"
0,FakeKyiv,"[0, 1]",8262,2068,"(0.04979402100434527, 6.138533592005842)"
0,FakeKyiv,"[0, 0]",53221,13107,"(0.8193752520019189, 41.71793274699303)"
0,FakeTorino,"[1, 2]",341,104,"(0.0017490320024080575, 0.265812123005162)"
0,FakeTorino,"[1, 1]",370,112,"(0.0017900130042107776, 0.2629032400000142)"
0,FakeTorino,"[1, 0]",387,118,"(0.001919768998050131, 0.9740471249970142)"
0,FakeTorino,"[0, 2]",830,234,"(0.03639397399092559, 1.2314843400090467)"
0,FakeTorino,"[0, 1]",7228,2057,"(0.031474364004679956, 11.965032081992831)"
0,FakeTorino,"[0, 0]",46151,13073,"(0.6981252630066592, 70.49757032499474)"
0,FakeBrisbane,"[1, 2]",406,104,"(0.0013995539920870215, 0.7703957400080981)"
0,FakeBrisbane,"[1, 1]",425,114,"(0.001612344989553094, 0.8325207940069959)"
0,FakeBrisbane,"[1, 0]",440,126,"(0.0045556999975815415, 0.2687408960046014)"
0,FakeBrisbane,"[0, 2]",893,229,"(0.03620572999352589, 1.1117133950028801)"
0,FakeBrisbane,"[0, 1]",8224,2071,"(0.09529044199734926, 7.169990410009632)"
0,FakeBrisbane,"[0, 0]",52478,13107,"(1.308017995004775, 41.579561410995666)"
1,FakeKyiv,"[1, 2]",936,257,"(0.003570853004930541, 1.1197723369987216)"
1,FakeKyiv,"[1, 1]",1380,370,"(0.00396351600647904, 1.948031464999076)"
1,FakeKyiv,"[1, 0]",1816,495,"(0.006546856995555572, 1.3479786649986636)"
1,FakeKyiv,"[0, 2]",timeout,timeout,timeout
1,FakeKyiv,"[0, 1]",timeout,timeout,timeout
1,FakeKyiv,"[0, 0]",timeout,timeout,timeout
1,FakeTorino,"[1, 2]",790,252,"(0.0037711049953941256, 1.2766448430047603)"
1,FakeTorino,"[1, 1]",1129,358,"(0.0036476989916991442, 1.7187816600053338)"
1,FakeTorino,"[1, 0]",1539,490,"(0.005153482998139225, 1.5816374879941577)"
1,FakeTorino,"[0, 2]",timeout,timeout,timeout
1,FakeTorino,"[0, 1]",timeout,timeout,timeout
1,FakeTorino,"[0, 0]",timeout,timeout,timeout
1,FakeBrisbane,"[1, 2]",859,256,"(0.003298412004369311, 0.8717343760072254)"
1,FakeBrisbane,"[1, 1]",1313,367,"(0.00425533700035885, 2.2357180130056804)"
1,FakeBrisbane,"[1, 0]",1748,505,"(0.005364031007047743, 1.647650323997368)"
1,FakeBrisbane,"[0, 2]",timeout,timeout,timeout
1,FakeBrisbane,"[0, 1]",timeout,timeout,timeout
1,FakeBrisbane,"[0, 0]",timeout,timeout,timeout
2,FakeKyiv,"[1, 2]",875,232,"(0.0026194660022156313, 0.5877732349908911)"
2,FakeKyiv,"[1, 1]",802,222,"(0.002240032990812324, 1.1626421499968274)"
2,FakeKyiv,"[1, 0]",1282,354,"(0.002868292009225115, 1.7682804560026852)"
2,FakeKyiv,"[0, 2]",35676,8776,"(0.20348299000761472, 36.85774553498777)"
2,FakeKyiv,"[0, 1]",143079,35730,"(9.380414683997515, 142.8698225660046)"
2,FakeKyiv,"[0, 0]",881157,218001,"(30.020661168004153, 405.8412972169899)"
2,FakeTorino,"[1, 2]",702,222,"(0.00216651099617593, 1.0468617330043344)"
2,FakeTorino,"[1, 1]",696,222,"(0.002279211999848485, 0.8147628659935435)"
2,FakeTorino,"[1, 0]",1101,340,"(0.002978969001560472, 1.7023769450024702)"
2,FakeTorino,"[0, 2]",30912,8714,"(0.29549834699719213, 36.319032868006616)"
2,FakeTorino,"[0, 1]",126209,35594,"(7.522280414996203, 140.12270532800176)"
2,FakeTorino,"[0, 0]",timeout,timeout,timeout
2,FakeBrisbane,"[1, 2]",801,220,"(0.0020308579987613484, 1.3134476839913987)"
2,FakeBrisbane,"[1, 1]",820,226,"(0.002782852010568604, 0.47306990399374627)"
2,FakeBrisbane,"[1, 0]",1168,340,"(0.0032549360039411113, 0.7377932129893452)"
2,FakeBrisbane,"[0, 2]",35110,8770,"(1.104499870998552, 21.362184743004036)"
2,FakeBrisbane,"[0, 1]",142849,35746,"(7.115001963000395, 108.98954610498913)"
2,FakeBrisbane,"[0, 0]",870644,219376,"(30.18649485599599, 408.0568140289979)"
