pkid,backend,strategy,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,FakeTorino,"[1, 0, 0]",181.60892427884616,0.68359375,0,33
0,FakeTorino,"[1, 1, 0]",181.20342548076923,0.5859375,0,32
0,FakeTorino,"[1, 0, 1]","[103.85201322115384, 126.49045973557692]","[11.328125, 14.2578125]","[0, 0]","[28, 33]"
0,FakeTorino,"[1, 1, 1]","[117.45440204326923, 138.890625]","[6.0546875, 11.5234375]","[0, 0]","[32, 36]"
0,FakeBrisbane,"[1, 0, 0]",211.17037259615384,0.09765625,0,24
0,FakeBrisbane,"[1, 1, 0]",197.234375,0,0,28
0,FakeBrisbane,"[1, 0, 1]","[130.81482872596155, 212.2264122596154]","[6.15234375, 3.515625]","[0.09765625, 0]","[27, 28]"
0,FakeBrisbane,"[1, 1, 1]","[141.68013822115384, 203.43719951923077]","[4.4921875, 3.90625]","[0, 0]","[32, 25]"
1,FakeTorino,"[1, 0, 0]",1621.8017578125,0.1953125,0.09765625,30
1,FakeTorino,"[1, 1, 0]",1592.30517578125,0.29296875,0.09765625,22
1,FakeTorino,"[1, 1, 0]","[1379.49853515625, 1738.4111328125]","[0.9765625, 0.1953125]","[0.87890625, 0]","[27, 27]"
1,FakeTorino,"[1, 1, 1]","[1468.93603515625, 1777.29345703125]","[0.87890625, 0.87890625]","[0.78125, 0.09765625]","[24, 32]"
1,FakeBrisbane,"[1, 0, 0]",1728.41015625,0.09765625,0,21
1,FakeBrisbane,"[1, 1, 0]",1723.552734375,0.1953125,0,24
1,FakeBrisbane,"[1, 0, 1]","[1535.75341796875, 1823.77099609375]","[0.29296875, 0.09765625]","[0.09765625, 0]","[21, 22]"
1,FakeBrisbane,"[1, 1, 1]","[1574.263671875, 1953.09423828125]","[0.29296875, 0]","[0.1953125, 0]","[25, 24]"
2,FakeTorino,"[1, 0, 0]",64.73533653846154,0.5859375,0.09765625,31
2,FakeTorino,"[1, 1, 0]",72.87848557692308,0.29296875,0,36
2,FakeTorino,"[1, 0, 1]","[64.52125901442308, 85.57071814903846]","[1.07421875, 0.78125]","[0, 0.09765625]","[29, 29]"
2,FakeTorino,"[1, 1, 1]","[73.71891526442307, 80.5276141826923]","[0.9765625, 0.87890625]","[0.09765625, 0]","[30, 36]"
2,FakeBrisbane,"[1, 0, 0]",74.80498798076923,0.1953125,0,27
2,FakeBrisbane,"[1, 1, 0]",83.03900240384615,0.29296875,0,28
2,FakeBrisbane,"[1, 0, 1]",timeout,timeout,timeout,timeout
2,FakeBrisbane,"[1, 1, 1]","[92.44107572115385, 120.10001502403846]","[0, 0.09765625]","[0, 0]","[32, 37]"
