pkid,qubits,layers,use_decompose,transpile_time,depth,culled_depth,rss_usage
0,5,1,True,"(0.0025088260881602764, 0.013811915181577206)",70,24,4.55078125
1,6,1,True,"(0.0034620738588273525, 0.021839621011167765)",87,30,4.8828125
2,7,1,True,"(0.005372087005525827, 0.09306575590744615)",104,36,4.6171875
3,8,1,True,"(0.002631973009556532, 0.01801829319447279)",121,42,4.58984375
4,9,1,True,"(0.003258537035435438, 0.02237440785393119)",138,48,4.69921875
5,10,1,True,"(0.0036875149235129356, 0.08727807085961103)",155,54,4.60546875
6,11,1,True,"(0.003336085006594658, 0.024926098063588142)",172,60,5.171875
7,12,1,True,"(0.006202050019055605, 0.1445161160081625)",189,66,4.69921875
0,5,1,False,"(0.20093606412410736, 5.8260501702316105)",6150,1678,33.40625
1,6,1,False,"(0.37315723206847906, 24.90920342784375)",33289,8960,112.42578125
2,7,1,False,"(11.26895577320829, 105.41045056004077)",165562,44624,511.45703125
3,8,1,False
