pkid,pbid,layers,use_decompose,transpile_time,depth,culled_depth,rss_usage
0,0,1,True,"(0.020266949199140072, 0.09485791577026248)",1549,629,5.0546875
1,0,1,True,"(0.011864774394780397, 0.07379432488232851)",1362,554,4.58984375
2,0,1,True,"(0.010356159880757332, 0.06332683702930808)",1162,472,4.40234375
3,0,1,True,"(0.013904699124395847, 0.06498315371572971)",970,394,4.1328125
4,0,1,True,"(0.008249674923717976, 0.04351293994113803)",785,319,4.04296875
5,0,1,True,"(0.00835938099771738, 0.039056302048265934)",490,199,3.6953125
6,0,1,True,"(0.007864335086196661, 0.030764071736484766)",393,159,3.87109375
0,0,1,False,memory_error,memory_error,memory_error,memory_error
1,0,1,False,memory_error,memory_error,memory_error,memory_error
2,0,1,False,memory_error,memory_error,memory_error,memory_error
3,0,1,False,memory_error,memory_error,memory_error,memory_error
4,0,1,False,timeout,timeout,timeout,timeout
5,0,1,False,timeout,timeout,timeout,timeout
6,0,1,False,"(0.9389877901412547, 741.721496689599)",1148574,488460,2236.51953125
