pid,num_layers,use_decompose,transpile_time,depth,culled_depth
0,1,True,0.1111627179197967,136,45
1,1,True,0.2648374359123409,518,202
2,1,True,0.5871101119555533,967,380
3,1,True,1.5317327179946005,3131,1340
4,1,True,2.0115600749850273,4644,2000
5,1,True,0.3599595371633768,496,172
6,1,True,0.8232767167501152,1018,398
7,1,True,0.7017923789098859,819,311
8,1,True,1.3909515412524343,1602,650
9,1,True,1.9903944171965122,4875,2168
10,1,True,0.17119325418025255,240,79
11,1,True,0.3095467099919915,354,116
12,1,True,0.4707146496511996,468,153
13,1,True,0.3338464149273932,468,153
14,1,True,0.6818117988295853,945,315
0,1,False,1.1934280078858137,585,168
1,1,False,22.499064608011395,11571,3065
2,1,False,8443.286002331879,98033,28642
3,1,False,memory_error,memory_error,memory_error
4,1,False,memory_error,memory_error,memory_error
5,1,False,201.40403441013768,12235,3959
6,1,False,8811.511728262994,104853,29781
7,1,False,memory_error,memory_error,memory_error
8,1,False,memory_error,memory_error,memory_error
9,1,False,memory_error,memory_error,memory_error
10,1,False,1.20137669891119,1222,369
11,1,False,3.3309329100884497,2877,1061
12,1,False,20.602564638946205,11990,5273
13,1,False,22.472434065770358,11990,5273
14,1,False,14610.20879122708,670513,326008
