pid,num_layers,use_decompose,transpile_time,depth,culled_depth
0,1,True,0.20068810414522886,136,45
1,1,True,1.1489470968954265,518,202
2,1,True,1.055252619087696,967,380
3,1,True,3.766332247760147,3131,1340
4,1,True,6.962799950968474,4644,2000
5,1,True,0.7040652078576386,496,172
6,1,True,1.8732436560094357,1018,398
7,1,True,1.747207606676966,819,311
8,1,True,3.810240007005632,1602,650
9,1,True,6.105164231266826,4875,2168
10,1,True,0.5445039598271251,240,79
11,1,True,0.9566287989728153,354,116
12,1,True,0.6001978293061256,468,153
13,1,True,0.4724805988371372,468,153
14,1,True,1.8613733481615782,945,315
0,1,False,2.182156997732818,585,168
1,1,False,85.57557149697095,11571,3065
2,1,False,15579.011541432701,98033,28642
3,1,False,memory_error,memory_error,memory_error
4,1,False,memory_error,memory_error,memory_error
5,1,False,1092.0465928963386,12235,3959
6,1,False,28816.915399563033,104853,29781
7,1,False,memory_error,memory_error,memory_error
8,1,False,memory_error,memory_error,memory_error
9,1,False,memory_error,memory_error,memory_error
10,1,False,4.107244022190571,1222,369
11,1,False,8.335364731959999,2877,1061
12,1,False,116.03445293894038,11990,5273
13,1,False,74.61015345994383,11990,5273
14,1,False,22513.00599624403,670513,326008
