pid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
0,1,15,8,penalty,319.20745999999787,1.5799999999999998,0.06
0,2,15,8,penalty,563.6044200000034,0.08000000000000002,0
0,1,15,8,cyclic,182.5586199999999,8.31,0
0,2,15,8,cyclic,345.28269999999895,0.9499999999999998,0.18
0,1,15,8,commute,1.3383800000000003,99.99999999999999,8.88
0,2,15,8,commute,0.8580400000000005,100.0,12.64
0,1,15,8,HEA,261.0590599999999,0,0
0,2,15,8,HEA,469.27750000000117,0.4,0
1,1,21,12,penalty,538.6166000000026,0.05,0.01
1,2,21,12,penalty,447.16891428571415,0.02,0
1,1,21,12,cyclic,289.235271428571,4.16,0
1,2,21,12,cyclic,279.95614285714464,0.63,0
1,1,21,12,commute,0.14285714285714285,100.0,0
1,2,21,12,commute,0.1428428571428572,100.0,0.01
1,1,21,12,HEA,426.5470428571424,0,0
1,2,21,12,HEA,545.2416142857163,0,0
2,1,28,15,penalty,1157.9039000000046,0,0
2,2,28,15,penalty,782.9520249999995,0,0
2,1,28,15,cyclic,854.4355,0,0
2,2,28,15,cyclic,750.2181999999992,0.08000000000000002,0
2,1,28,15,commute,1.0001250000000002,100.0,0
2,2,28,15,commute,1.0002,100.0,0
2,1,28,15,HEA,1409.4326250000095,0,0
2,2,28,15,HEA,1594.9669000000058,0,0
3,1,20,8,penalty,1943.6791500000286,0.02,0.01
3,2,20,8,penalty,1897.8753000000152,0.02,0.01
3,1,20,8,cyclic,394.92029999999994,6.600000000000001,0.09000000000000001
3,2,20,8,cyclic,365.34645000000046,8.68,0.26
3,1,20,8,commute,0.5036500000000002,100.0,7.08
3,2,20,8,commute,0.36194999999999977,99.99999999999999,32.55
3,1,20,8,HEA,1624.0007500000074,0,0
3,2,20,8,HEA,1773.085350000036,0,0
4,1,24,12,penalty,3021.204500000183,0,0
4,2,24,12,penalty,1499.2240000000238,0.05,0
4,1,24,12,cyclic,787.1451999999997,0.35000000000000003,0
4,2,24,12,cyclic,5.035599999999998,98.02,0
4,1,24,12,commute,0.5,100.0,0
4,2,24,12,commute,0.3378500000000002,100.0,38.949999999999996
4,1,24,12,HEA,2010.5296500000075,0,0
4,2,24,12,HEA,2892.982600000154,0,0
5,1,28,16,penalty,3339.9782000002024,0,0
5,2,28,16,penalty,2700.548550000106,0,0
5,1,28,16,cyclic,1192.7729000000163,0.05,0
5,2,28,16,cyclic,1189.261949999984,0,0
5,1,28,16,commute,0.5,100.0,0
5,2,28,16,commute,0.5005000000000002,100.0,0
5,1,28,16,HEA,2935.9913500001335,0,0
5,2,28,16,HEA,3513.4648500002104,0,0
6,1,10,7,penalty,1897.91155,0.42,0.33
6,2,10,7,penalty,1424.4783,4.64,3.25
6,1,10,7,cyclic,0.0,100.0,100.0
6,2,10,7,cyclic,314.43545,21.450000000000003,16.240000000000002
6,1,10,7,commute,0.5,100.0,0
6,2,10,7,commute,0.0001500000000000945,99.99999999999999,99.97
6,1,10,7,HEA,613.0646,27.88,27.88
6,2,10,7,HEA,1247.5402500000005,0.039999999999999994,0.039999999999999994
7,1,10,7,penalty,516.9105500000007,0.9400000000000001,0.01
7,2,10,7,penalty,541.6627000000007,2.3200000000000003,0.38999999999999996
7,1,10,7,cyclic,0.75,100.0,0
7,2,10,7,cyclic,0.5,100.0,0
7,1,10,7,commute,0.470275,100.0,0
7,2,10,7,commute,0.369375,100.0,5.79
7,1,10,7,HEA,200.91962500000002,0,0
7,2,10,7,HEA,324.73030000000034,0.8200000000000001,0.44
8,1,15,8,penalty,1064.4187500000078,0.26,0.1
8,2,15,8,penalty,1024.9799999999984,0.19000000000000003,0.01
8,1,15,8,cyclic,0.2899999999999999,99.98,0
8,2,15,8,cyclic,0.54,99.98,0
8,1,15,8,commute,0.43862500000000004,100.0,0
8,2,15,8,commute,0.3114499999999999,100.0,6.02
8,1,15,8,HEA,757.7734000000002,0.01,0
8,2,15,8,HEA,881.2403250000008,0.060000000000000005,0
