pid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
0,1,6,3,penalty,160.28849999999997,10.059999999999999,2.71
0,2,6,3,penalty,163.40995000000004,7.66,0.62
0,3,6,3,penalty,149.08329999999998,11.069999999999999,1.7500000000000002
0,1,6,3,cyclic,140.95524999999998,16.28,6.069999999999999
0,2,6,3,cyclic,101.41919999999998,24.07,7.01
0,3,6,3,cyclic,119.11725000000003,18.069999999999997,2.87
0,1,6,3,commute,0.5004,99.99999999999999,0.04
0,2,6,3,commute,0.00045000000000006146,100.0,99.91
0,3,6,3,commute,0.16015000000000001,100.0,91.96
0,1,6,3,HEA,0.010050000000000114,99.99,99.99
0,2,6,3,HEA,61.70020000000001,48.97,47.29
0,3,6,3,HEA,156.31744999999995,31.330000000000002,19.0
1,1,10,6,penalty,205.39962000000008,5.33,0.72
1,2,10,6,penalty,350.93881999999974,1.1300000000000001,0.08
1,3,10,6,penalty,169.75993999999963,12.739999999999998,1.01
1,1,10,6,cyclic,135.3664599999999,21.47,0
1,2,10,6,cyclic,117.16878000000001,31.05,0
1,3,10,6,cyclic,72.43769999999999,49.64000000000001,0.06999999999999999
1,1,10,6,commute,1.4070999999999998,100.0,0.53
1,2,10,6,commute,1.24758,100.0,16.24
1,3,10,6,commute,0.65546,100.0,77.64
1,1,10,6,HEA,85.79862,0,0
1,2,10,6,HEA,262.59961999999996,0.29000000000000004,0.25
1,3,10,6,HEA,341.7618999999997,3.1300000000000003,0
2,1,15,8,penalty,310.28529999999733,0.7799999999999999,0.01
2,2,15,8,penalty,368.47209999999893,0.3999999999999999,0.03
2,3,15,8,penalty
