pid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
0,1,6,3,penalty,142.31640625,17.3828125,2.24609375
0,2,6,3,penalty,137.5078125,4.296875,0.1953125
0,3,6,3,penalty,165.4775390625,11.328125,1.5625
0,4,6,3,penalty,136.53271484375,16.015625,5.859375
0,5,6,3,penalty,158.06640625,13.8671875,1.7578125
0,1,6,3,cyclic,191.619140625,14.453125,5.17578125
0,2,6,3,cyclic,110.98974609375,16.796875,0.29296875
0,3,6,3,cyclic,102.4189453125,24.51171875,0.390625
0,4,6,3,cyclic,122.69384765625,26.07421875,8.10546875
0,5,6,3,cyclic,95.16357421875,27.5390625,9.66796875
0,1,6,3,commute,0.49951171875,100.0,0.09765625
0,2,6,3,commute,0.49951171875,100.0,0.09765625
0,3,6,3,commute,0.01220703125,100.0,99.31640625
0,4,6,3,commute,0.30126953125,100.0,44.62890625
0,5,6,3,commute,0.06201171875,100.0,89.35546875
0,1,6,3,HEA,0.09814453125,99.90234375,99.90234375
0,2,6,3,HEA,103.8125,29.58984375,5.2734375
0,3,6,3,HEA,151.15771484375,7.03125,0.87890625
0,4,6,3,HEA,158.9453125,10.25390625,3.3203125
0,5,6,3,HEA,123.5771484375,29.98046875,6.4453125
1,1,10,6,penalty,399.133203125,0.87890625,0.09765625
1,2,10,6,penalty,301.5544921875,1.26953125,0.09765625
1,3,10,6,penalty,215.3169921875,2.63671875,0
1,4,10,6,penalty,174.388671875,5.95703125,0.9765625
1,5,10,6,penalty,189.9361328125,2.44140625,0
1,1,10,6,cyclic,127.3712890625,22.75390625,0
1,2,10,6,cyclic,252.93359375,9.27734375,0.1953125
1,3,10,6,cyclic,153.1693359375,19.3359375,0
1,4,10,6,cyclic,136.26640625,27.24609375,0.09765625
1,5,10,6,cyclic,219.52578125,3.41796875,1.26953125
1,1,10,6,commute,1.3966796875,100.0,0.390625
1,2,10,6,commute,0.714453125,100.0,56.8359375
1,3,10,6,commute,0.413671875,100.0,83.59375
1,4,10,6,commute,0.5875,100.0,64.84375
1,5,10,6,commute,0.645703125,100.0,59.9609375
1,1,10,6,HEA,6.840234375,98.046875,98.046875
1,2,10,6,HEA,273.92734375,0.5859375,0
1,3,10,6,HEA,255.6677734375,0.9765625,0.390625
1,4,10,6,HEA,359.9349609375,0.48828125,0
1,5,10,6,HEA,367.0658203125,0.87890625,0
2,1,15,8,penalty,521.826953125,0.1953125,0
2,2,15,8,penalty,362.38828125,0.9765625,0.1953125
2,3,15,8,penalty,362.74765625,0.1953125,0
2,4,15,8,penalty,timeout,timeout,timeout
2,5,15,8,penalty,timeout,timeout,timeout
2,1,15,8,cyclic,355.584765625,4.4921875,0.09765625
2,2,15,8,cyclic,170.3900390625,4.296875,0
2,3,15,8,cyclic,timeout,timeout,timeout
2,4,15,8,cyclic,timeout,timeout,timeout
2,5,15,8,cyclic,timeout,timeout,timeout
2,1,15,8,commute,1.3419921875,100.0,3.125
2,2,15,8,commute,timeout,timeout,timeout
2,3,15,8,commute,timeout,timeout,timeout
2,4,15,8,commute,timeout,timeout,timeout
2,5,15,8,commute,timeout,timeout,timeout
2,1,15,8,HEA,292.803125,0,0
2,2,15,8,HEA,558.2544921875,0,0
2,3,15,8,HEA,594.7095703125,0,0
2,4,15,8,HEA,timeout,timeout,timeout
2,5,15,8,HEA,timeout,timeout,timeout
3,1,21,12,penalty,519.3178013392857,0,0
3,2,21,12,penalty,310.29757254464283,0,0
3,3,21,12,penalty,timeout,timeout,timeout
3,4,21,12,penalty,timeout,timeout,timeout
3,5,21,12,penalty,timeout,timeout,timeout
3,1,21,12,cyclic,394.36049107142856,0.87890625,0
3,2,21,12,cyclic,218.07700892857142,1.85546875,0
3,3,21,12,cyclic,timeout,timeout,timeout
3,4,21,12,cyclic,timeout,timeout,timeout
3,5,21,12,cyclic,timeout,timeout,timeout
3,1,21,12,commute,timeout,timeout,timeout
3,2,21,12,commute,timeout,timeout,timeout
3,3,21,12,commute,timeout,timeout,timeout
3,4,21,12,commute,timeout,timeout,timeout
3,5,21,12,commute,timeout,timeout,timeout
3,1,21,12,HEA,375.59263392857144,0,0
3,2,21,12,HEA,634.6734095982143,0,0
3,3,21,12,HEA,timeout,timeout,timeout
3,4,21,12,HEA,timeout,timeout,timeout
3,5,21,12,HEA,timeout,timeout,timeout
4,1,28,15,penalty,timeout,timeout,timeout
4,2,28,15,penalty,timeout,timeout,timeout
4,3,28,15,penalty,timeout,timeout,timeout
4,4,28,15,penalty,timeout,timeout,timeout
4,5,28,15,penalty,timeout,timeout,timeout
4,1,28,15,cyclic,timeout,timeout,timeout
4,2,28,15,cyclic,timeout,timeout,timeout
4,3,28,15,cyclic,timeout,timeout,timeout
4,4,28,15,cyclic,timeout,timeout,timeout
4,5,28,15,cyclic,timeout,timeout,timeout
4,1,28,15,commute,timeout,timeout,timeout
4,2,28,15,commute,timeout,timeout,timeout
4,3,28,15,commute,timeout,timeout,timeout
4,4,28,15,commute,timeout,timeout,timeout
4,5,28,15,commute,timeout,timeout,timeout
4,1,28,15,HEA,timeout,timeout,timeout
4,2,28,15,HEA,timeout,timeout,timeout
4,3,28,15,HEA,timeout,timeout,timeout
4,4,28,15,HEA,timeout,timeout,timeout
4,5,28,15,HEA,timeout,timeout,timeout
5,1,12,6,penalty,1000.8330078125,0.29296875,0.1953125
5,2,12,6,penalty,906.2080078125,0.29296875,0.09765625
5,3,12,6,penalty,910.19287109375,0.48828125,0.390625
5,4,12,6,penalty,708.306640625,0,0
5,5,12,6,penalty,617.8408203125,0.87890625,0.68359375
5,1,12,6,cyclic,228.23388671875,11.42578125,0
5,2,12,6,cyclic,328.2392578125,17.87109375,12.98828125
5,3,12,6,cyclic,140.884765625,44.53125,2.83203125
5,4,12,6,cyclic,85.2080078125,65.0390625,4.00390625
5,5,12,6,cyclic,94.2421875,63.28125,21.38671875
5,1,12,6,commute,0.0,100.0,100.0
5,2,12,6,commute,0.01025390625,100.0,97.94921875
5,3,12,6,commute,0.0,100.0,100.0
5,4,12,6,commute,0.00146484375,100.0,99.70703125
5,5,12,6,commute,0.0029296875,100.0,99.4140625
5,1,12,6,HEA,395.75537109375,5.95703125,5.95703125
5,2,12,6,HEA,999.1796875,1.26953125,1.171875
5,3,12,6,HEA,1103.23779296875,0.1953125,0.1953125
5,4,12,6,HEA,1025.3525390625,0.9765625,0.78125
5,5,12,6,HEA,1107.1376953125,1.3671875,1.26953125
6,1,15,9,penalty,1338.51806640625,0,0
6,2,15,9,penalty,1076.1044921875,0.09765625,0
6,3,15,9,penalty,timeout,timeout,timeout
6,4,15,9,penalty,timeout,timeout,timeout
6,5,15,9,penalty,timeout,timeout,timeout
6,1,15,9,cyclic,3.234375,98.6328125,0
6,2,15,9,cyclic,476.65380859375,1.3671875,0
6,3,15,9,cyclic,timeout,timeout,timeout
6,4,15,9,cyclic,timeout,timeout,timeout
6,5,15,9,cyclic,timeout,timeout,timeout
6,1,15,9,commute,0.0,100.0,100.0
6,2,15,9,commute,timeout,timeout,timeout
6,3,15,9,commute,timeout,timeout,timeout
6,4,15,9,commute,timeout,timeout,timeout
6,5,15,9,commute,timeout,timeout,timeout
6,1,15,9,HEA,721.16064453125,0,0
6,2,15,9,HEA,1559.35693359375,0.09765625,0
6,3,15,9,HEA,1542.251953125,0,0
6,4,15,9,HEA,timeout,timeout,timeout
6,5,15,9,HEA,timeout,timeout,timeout
7,1,20,8,penalty,2190.33740234375,0,0
7,2,20,8,penalty,2387.78076171875,0,0
7,3,20,8,penalty,1604.72900390625,0.9765625,0.390625
7,4,20,8,penalty,timeout,timeout,timeout
7,5,20,8,penalty,timeout,timeout,timeout
7,1,20,8,cyclic,377.14501953125,7.8125,0.09765625
7,2,20,8,cyclic,348.47607421875,11.62109375,0.29296875
7,3,20,8,cyclic,128.90087890625,49.21875,0
7,4,20,8,cyclic,243.74072265625,15.72265625,0
7,5,20,8,cyclic,timeout,timeout,timeout
7,1,20,8,commute,0.4990234375,100.0,0.5859375
7,2,20,8,commute,0.36376953125,100.0,34.5703125
7,3,20,8,commute,timeout,timeout,timeout
7,4,20,8,commute,timeout,timeout,timeout
7,5,20,8,commute,0.32373046875,100.0,36.81640625
7,1,20,8,HEA,1313.67822265625,0,0
7,2,20,8,HEA,2214.95751953125,0,0
7,3,20,8,HEA,2221.18896484375,0,0
7,4,20,8,HEA,timeout,timeout,timeout
7,5,20,8,HEA,2284.0732421875,0,0
8,1,24,12,penalty,2217.943359375,0,0
8,2,24,12,penalty,timeout,timeout,timeout
8,3,24,12,penalty,1754.5634765625,0,0
8,4,24,12,penalty,timeout,timeout,timeout
8,5,24,12,penalty,timeout,timeout,timeout
8,1,24,12,cyclic,769.0986328125,0.1953125,0
8,2,24,12,cyclic,timeout,timeout,timeout
8,3,24,12,cyclic,timeout,timeout,timeout
8,4,24,12,cyclic,722.763671875,0.48828125,0
8,5,24,12,cyclic,timeout,timeout,timeout
8,1,24,12,commute,timeout,timeout,timeout
8,2,24,12,commute,timeout,timeout,timeout
8,3,24,12,commute,timeout,timeout,timeout
8,4,24,12,commute,timeout,timeout,timeout
8,5,24,12,commute,timeout,timeout,timeout
8,1,24,12,HEA,2205.91455078125,0,0
8,2,24,12,HEA,2623.4814453125,0,0
8,3,24,12,HEA,3026.23583984375,0,0
8,4,24,12,HEA,timeout,timeout,timeout
8,5,24,12,HEA,timeout,timeout,timeout
9,1,28,16,penalty,2712.45458984375,0,0
9,2,28,16,penalty,timeout,timeout,timeout
9,3,28,16,penalty,timeout,timeout,timeout
9,4,28,16,penalty,timeout,timeout,timeout
9,5,28,16,penalty,timeout,timeout,timeout
9,1,28,16,cyclic,timeout,timeout,timeout
9,2,28,16,cyclic,timeout,timeout,timeout
9,3,28,16,cyclic,timeout,timeout,timeout
9,4,28,16,cyclic,timeout,timeout,timeout
9,5,28,16,cyclic,timeout,timeout,timeout
9,1,28,16,commute,timeout,timeout,timeout
9,2,28,16,commute,timeout,timeout,timeout
9,3,28,16,commute,timeout,timeout,timeout
9,4,28,16,commute,timeout,timeout,timeout
9,5,28,16,commute,timeout,timeout,timeout
9,1,28,16,HEA,timeout,timeout,timeout
9,2,28,16,HEA,timeout,timeout,timeout
9,3,28,16,HEA,timeout,timeout,timeout
9,4,28,16,HEA,timeout,timeout,timeout
9,5,28,16,HEA,timeout,timeout,timeout
10,1,6,5,penalty,644.91357421875,7.421875,1.5625
10,2,6,5,penalty,548.4921875,6.54296875,6.0546875
10,3,6,5,penalty,578.97705078125,13.76953125,6.0546875
10,4,6,5,penalty,506.58935546875,13.671875,8.69140625
10,5,6,5,penalty,549.87255859375,8.88671875,2.34375
10,1,6,5,cyclic,0.0,100.0,100.0
10,2,6,5,cyclic,299.611328125,29.78515625,5.2734375
10,3,6,5,cyclic,290.1083984375,27.63671875,3.41796875
10,4,6,5,cyclic,409.3369140625,15.72265625,0.09765625
10,5,6,5,cyclic,284.38818359375,35.15625,1.26953125
10,1,6,5,commute,0.5,100.0,0
10,2,6,5,commute,0.00048828125,100.0,99.90234375
10,3,6,5,commute,0.0,100.0,100.0
10,4,6,5,commute,0.001953125,100.0,99.609375
10,5,6,5,commute,0.001953125,100.0,99.609375
10,1,6,5,HEA,0.390625,99.90234375,99.90234375
10,2,6,5,HEA,103.94189453125,82.12890625,81.8359375
10,3,6,5,HEA,473.38330078125,8.3984375,7.2265625
10,4,6,5,HEA,425.4697265625,20.5078125,10.3515625
10,5,6,5,HEA,444.2099609375,23.73046875,6.8359375
11,1,8,6,penalty,1124.86328125,2.5390625,0.9765625
11,2,8,6,penalty,1047.69189453125,0.68359375,0.390625
11,3,8,6,penalty,899.12841796875,0.5859375,0.1953125
11,4,8,6,penalty,875.0615234375,0.78125,0.29296875
11,5,8,6,penalty,985.76953125,7.12890625,3.125
11,1,8,6,cyclic,0.5,100.0,0
11,2,8,6,cyclic,0.8896484375,99.90234375,0
11,3,8,6,cyclic,277.24267578125,30.76171875,8.3984375
11,4,8,6,cyclic,433.48779296875,31.4453125,6.25
11,5,8,6,cyclic,280.318359375,30.17578125,28.22265625
11,1,8,6,commute,0.5,100.0,0
11,2,8,6,commute,0.0,100.0,100.0
11,3,8,6,commute,0.00048828125,100.0,99.90234375
11,4,8,6,commute,0.0029296875,100.0,99.4140625
11,5,8,6,commute,0.00048828125,100.0,99.90234375
11,1,8,6,HEA,404.1904296875,0,0
11,2,8,6,HEA,836.15966796875,0.78125,0.5859375
11,3,8,6,HEA,974.15673828125,1.07421875,0.09765625
11,4,8,6,HEA,781.85791015625,10.15625,6.15234375
11,5,8,6,HEA,942.80224609375,1.7578125,1.3671875
12,1,10,7,penalty,1798.83056640625,0.29296875,0
12,2,10,7,penalty,1610.52783203125,0.5859375,0.1953125
12,3,10,7,penalty,934.27587890625,6.73828125,0.9765625
12,4,10,7,penalty,952.74560546875,3.61328125,0
12,5,10,7,penalty,780.64599609375,8.30078125,0
12,1,10,7,cyclic,0.5,100.0,0
12,2,10,7,cyclic,0.39111328125,99.90234375,99.90234375
12,3,10,7,cyclic,273.68505859375,31.8359375,12.59765625
12,4,10,7,cyclic,195.1796875,51.26953125,24.21875
12,5,10,7,cyclic,241.53857421875,39.94140625,37.890625
12,1,10,7,commute,0.5,100.0,0
12,2,10,7,commute,0.0,100.0,100.0
12,3,10,7,commute,0.0,100.0,100.0
12,4,10,7,commute,0.0029296875,100.0,99.4140625
12,5,10,7,commute,0.0,100.0,100.0
12,1,10,7,HEA,44.1376953125,94.3359375,94.3359375
12,2,10,7,HEA,1261.82080078125,0.390625,0.390625
12,3,10,7,HEA,1608.43310546875,0.390625,0.390625
12,4,10,7,HEA,1736.32421875,0,0
12,5,10,7,HEA,1727.3134765625,0.48828125,0.1953125
13,1,10,7,penalty,409.46337890625,1.953125,0.1953125
13,2,10,7,penalty,403.467529296875,1.7578125,0.09765625
13,3,10,7,penalty,286.233154296875,9.5703125,1.66015625
13,4,10,7,penalty,526.68505859375,1.07421875,0
13,5,10,7,penalty,446.103759765625,1.7578125,0.78125
13,1,10,7,cyclic,0.75,100.0,0
13,2,10,7,cyclic,187.9404296875,24.31640625,1.66015625
13,3,10,7,cyclic,199.48095703125,21.58203125,0.390625
13,4,10,7,cyclic,220.717041015625,13.671875,0.29296875
13,5,10,7,cyclic,325.616943359375,6.4453125,0.68359375
13,1,10,7,commute,0.472412109375,100.0,0
13,2,10,7,commute,0.281982421875,100.0,6.25
13,3,10,7,commute,0.187255859375,100.0,31.34765625
13,4,10,7,commute,0.08251953125,100.0,76.7578125
13,5,10,7,commute,0.095458984375,100.0,78.22265625
13,1,10,7,HEA,10.160888671875,96.484375,96.484375
13,2,10,7,HEA,329.274169921875,0.09765625,0
13,3,10,7,HEA,419.36474609375,3.61328125,0.87890625
13,4,10,7,HEA,458.252685546875,1.171875,0.29296875
13,5,10,7,HEA,508.302978515625,1.07421875,0
14,1,15,8,penalty,540.874755859375,1.3671875,0.1953125
14,2,15,8,penalty,485.175048828125,2.34375,0.5859375
14,3,15,8,penalty,timeout,timeout,timeout
14,4,15,8,penalty,timeout,timeout,timeout
14,5,15,8,penalty,timeout,timeout,timeout
14,1,15,8,cyclic,0.25,100.0,0
14,2,15,8,cyclic,0.8359375,99.70703125,0
14,3,15,8,cyclic,timeout,timeout,timeout
14,4,15,8,cyclic,timeout,timeout,timeout
14,5,15,8,cyclic,timeout,timeout,timeout
14,1,15,8,commute,0.438232421875,100.0,0
14,2,15,8,commute,0.28125,100.0,6.54296875
14,3,15,8,commute,timeout,timeout,timeout
14,4,15,8,commute,timeout,timeout,timeout
14,5,15,8,commute,timeout,timeout,timeout
14,1,15,8,HEA,459.325439453125,0,0
