pkid,backend,strategy,depth,culled_depth,transpile_time
0,FakeKyiv,4,1244,338,"(0.003560926008503884, 0.3600876250129659)"
0,FakeKyiv,3,1227,341,"(0.005185209010960534, 0.4132603839971125)"
0,FakeKyiv,2,1569,446,"(0.005095362983411178, 0.5518155829922762)"
0,FakeKyiv,1,1884,525,"(0.0037034010165371, 0.5991290379897691)"
0,FakeKyiv,0,4839,1351,"(0.007420444017043337, 1.4731811899982858)"
0,FakeTorino,4,1068,336,"(0.0023598920088261366, 0.39609782400657423)"
0,FakeTorino,3,1084,344,"(0.002697021991480142, 0.3920194960082881)"
0,FakeTorino,2,1399,448,"(0.0034664430131670088, 0.7340812069887761)"
0,FakeTorino,1,1616,517,"(0.003942362003726885, 0.7454638009949122)"
0,FakeTorino,0,4312,1376,"(0.006045426998753101, 1.7515424769953825)"
0,FakeBrisbane,4,1203,346,"(0.003102605027379468, 0.38011944899335504)"
0,FakeBrisbane,3,1135,327,"(0.010044744994957, 0.3345832689956296)"
0,FakeBrisbane,2,1639,451,"(0.0027884689916390926, 0.5029151250200812)"
0,FakeBrisbane,1,1834,514,"(0.0038690119981765747, 0.7284884120163042)"
0,FakeBrisbane,0,5098,1434,"(0.004417309013660997, 1.4970462109777145)"
1,FakeKyiv,4,1852,513,"(0.002855201018974185, 0.5715862029755954)"
1,FakeKyiv,3,1954,545,"(0.0023638589773327112, 0.6188949790084735)"
1,FakeKyiv,2,2570,735,"(0.0168102000025101, 0.782331753987819)"
1,FakeKyiv,1,3683,1050,"(0.009429035999346524, 1.1963387970172334)"
1,FakeKyiv,0,6224,1711,"(0.006458610994741321, 1.8405906099942513)"
1,FakeTorino,4,1606,503,"(0.003230006986996159, 0.7215204920212273)"
1,FakeTorino,3,1713,543,"(0.002687987987883389, 0.8237154850212391)"
1,FakeTorino,2,2190,703,"(0.004163876001257449, 0.7841284770111088)"
1,FakeTorino,1,3442,1108,"(0.0048653859994374216, 1.4231958030140959)"
1,FakeTorino,0,5206,1666,"(0.0051268310053274035, 2.033954176993575)"
1,FakeBrisbane,4,2029,540,"(0.0021343129919841886, 0.585617678007111)"
1,FakeBrisbane,3,2148,590,"(0.003745664987945929, 0.648179973999504)"
1,FakeBrisbane,2,2555,693,"(0.004078036989085376, 1.0076273530139588)"
1,FakeBrisbane,1,3706,1061,"(0.004445332015166059, 1.2051072249887511)"
1,FakeBrisbane,0,5728,1652,"(0.009580615005688742, 1.598789782001404)"
2,FakeKyiv,4,2770,766,"(0.005453824007418007, 0.7792912040022202)"
2,FakeKyiv,3,3198,900,"(0.005347542988602072, 1.099892453989014)"
2,FakeKyiv,2,3275,911,"(0.00514302498777397, 0.9375117529998533)"
2,FakeKyiv,1,3697,1039,"(0.004193361004581675, 1.0623856160091236)"
2,FakeKyiv,0,4244,1177,"(0.009520974999759346, 1.2634594249830116)"
2,FakeTorino,4,2505,801,"(0.005525751999812201, 1.1433050479972735)"
2,FakeTorino,3,2795,892,"(0.004085619002580643, 1.1931584349949844)"
2,FakeTorino,2,2823,909,"(0.004003484995337203, 1.1378352179890499)"
2,FakeTorino,1,3135,1011,"(0.0048695619916543365, 1.3238888600026257)"
2,FakeTorino,0,3732,1184,"(0.006017114006681368, 1.565291958017042)"
2,FakeBrisbane,4,2825,785,"(0.004600456013577059, 0.7771917129866779)"
2,FakeBrisbane,3,3348,934,"(0.004893538018222898, 0.8707744739949703)"
2,FakeBrisbane,2,3241,897,"(0.0054904890130274, 0.9021393689909019)"
2,FakeBrisbane,1,3712,1033,"(0.006548867007950321, 1.1975831859745085)"
2,FakeBrisbane,0,4191,1177,"(0.0077797049889341, 1.2951793550164439)"
