pkid,backend,strategy,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,FakeKyiv,4,"[117.9892578125, 106.91045673076923, 136.21326622596155, 117.18930288461539, 87.05618990384616]","[11.71875, 13.96484375, 8.7890625, 9.765625, 12.20703125]","[7.2265625, 0, 0, 0, 0]","[35, 28, 26, 30, 25]"
0,FakeKyiv,3,"[135.1775841346154, 139.76374699519232, 113.8016826923077, 99.2920673076923, 83.353515625]","[8.59375, 7.421875, 14.94140625, 12.40234375, 14.84375]","[0, 0, 8.10546875, 0, 0]","[26, 25, 27, 28, 27]"
0,FakeKyiv,2,"[145.2654747596154, 129.87244591346155, 165.3943810096154]","[3.7109375, 4.98046875, 4.58984375]","[2.05078125, 0, 0]","[28, 30, 25]"
0,FakeKyiv,1,"[150.59525240384616, 214.97521033653845]","[2.34375, 1.85546875]","[0, 0]","[32, 24]"
0,FakeKyiv,0,208.9921875,0.09765625,0,34
0,FakeTorino,4,"[98.7412860576923, 80.86688701923077, 71.4471905048077, 72.64272836538461, 73.59119591346153]","[19.04296875, 22.265625, 31.93359375, 27.63671875, 25.1953125]","[13.57421875, 0, 0, 0, 0]","[27, 24, 25, 28, 27]"
0,FakeTorino,3,"[85.66684194711539, 92.15948016826923, 86.13897235576923, 97.9677734375, 75.01923076923077]","[25.1953125, 14.94140625, 25.1953125, 13.0859375, 22.36328125]","[0, 0, 17.87109375, 0, 0]","[24, 24, 32, 25, 31]"
0,FakeTorino,2,"[114.21642127403847, 100.82767427884616, 123.80724158653847]","[12.20703125, 11.42578125, 12.79296875]","[8.3984375, 0, 0]","[30, 25, 24]"
0,FakeTorino,1,timeout,timeout,timeout,timeout
0,FakeTorino,0,193.40091646634616,0.09765625,0,27
0,FakeBrisbane,4,"[167.62282151442307, 87.82466947115384, 107.34202223557692, 95.59247295673077, 85.94906850961539]","[7.6171875, 18.06640625, 15.33203125, 13.4765625, 12.98828125]","[0.1953125, 0, 0, 0, 0]","[27, 26, 20, 25, 34]"
0,FakeBrisbane,3,"[124.17983774038461, 90.5087890625, 110.55100661057692, 98.61080228365384, 85.4208984375]","[11.1328125, 22.55859375, 14.74609375, 15.72265625, 15.625]","[0, 0, 8.30078125, 0, 0]","[30, 26, 29, 32, 23]"
0,FakeBrisbane,2,"[143.28282752403845, 123.42705829326923, 165.2361778846154]","[5.2734375, 7.71484375, 5.6640625]","[3.125, 0, 0]","[33, 30, 29]"
0,FakeBrisbane,1,"[129.43336838942307, 186.35486778846155]","[7.03125, 4.1015625]","[0.1953125, 0]","[33, 31]"
0,FakeBrisbane,0,203.44365985576923,0.48828125,0,27
1,FakeKyiv,4,"[998.12841796875, 1440.0, 1030.9892578125, 1573.02294921875, 868.56591796875]","[2.44140625, 1.66015625, 2.44140625, 2.5390625, 1.953125]","[1.7578125, 0.5859375, 0.68359375, 1.3671875, 1.26953125]","[26, 26, 21, 25, 35]"
1,FakeKyiv,3,"[1060.81201171875, 1474.35888671875, 1072.544921875, 1621.28564453125, 880.13037109375]","[1.3671875, 1.3671875, 1.7578125, 1.26953125, 2.83203125]","[1.3671875, 1.07421875, 1.171875, 0.87890625, 2.05078125]","[19, 25, 23, 22, 27]"
1,FakeKyiv,2,"[1209.66943359375, 1451.32275390625, 1351.33642578125]","[0.1953125, 0.1953125, 0.5859375]","[0.09765625, 0, 0.48828125]","[24, 23, 25]"
1,FakeKyiv,1,"[1556.6669921875, 1999.78857421875]","[0.09765625, 0.09765625]","[0, 0.09765625]","[22, 22]"
1,FakeKyiv,0,1736.62255859375,0,0,24
1,FakeTorino,4,"[925.0751953125, 1334.71826171875, 963.22509765625, 1286.09619140625, 717.39111328125]","[5.56640625, 4.6875, 6.0546875, 8.10546875, 6.640625]","[4.39453125, 3.61328125, 0.5859375, 6.8359375, 4.8828125]","[33, 29, 25, 22, 28]"
