pkid,backend,strategy,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,FakeKyiv,4,"[117.9892578125, 106.91045673076923, 136.21326622596155, 117.18930288461539, 87.05618990384616]","[11.71875, 13.96484375, 8.7890625, 9.765625, 12.20703125]","[7.2265625, 0, 0, 0, 0]","[35, 28, 26, 30, 25]"
0,FakeKyiv,3,"[135.1775841346154, 139.76374699519232, 113.8016826923077, 99.2920673076923, 83.353515625]","[8.59375, 7.421875, 14.94140625, 12.40234375, 14.84375]","[0, 0, 8.10546875, 0, 0]","[26, 25, 27, 28, 27]"
0,FakeTorino,4,"[98.7412860576923, 80.86688701923077, 71.4471905048077, 72.64272836538461, 73.59119591346153]","[19.04296875, 22.265625, 31.93359375, 27.63671875, 25.1953125]","[13.57421875, 0, 0, 0, 0]","[27, 24, 25, 28, 27]"
0,FakeTorino,3,"[85.66684194711539, 92.15948016826923, 86.13897235576923, 97.9677734375, 75.01923076923077]","[25.1953125, 14.94140625, 25.1953125, 13.0859375, 22.36328125]","[0, 0, 17.87109375, 0, 0]","[24, 24, 32, 25, 31]"
0,FakeBrisbane,4,"[167.62282151442307, 87.82466947115384, 107.34202223557692, 95.59247295673077, 85.94906850961539]","[7.6171875, 18.06640625, 15.33203125, 13.4765625, 12.98828125]","[0.1953125, 0, 0, 0, 0]","[27, 26, 20, 25, 34]"
0,FakeBrisbane,3,"[124.17983774038461, 90.5087890625, 110.55100661057692, 98.61080228365384, 85.4208984375]","[11.1328125, 22.55859375, 14.74609375, 15.72265625, 15.625]","[0, 0, 8.30078125, 0, 0]","[30, 26, 29, 32, 23]"
1,FakeKyiv,4,"[998.12841796875, 1440.0, 1030.9892578125, 1573.02294921875, 868.56591796875]","[2.44140625, 1.66015625, 2.44140625, 2.5390625, 1.953125]","[1.7578125, 0.5859375, 0.68359375, 1.3671875, 1.26953125]","[26, 26, 21, 25, 35]"
1,FakeKyiv,3,"[1060.81201171875, 1474.35888671875, 1072.544921875, 1621.28564453125, 880.13037109375]","[1.3671875, 1.3671875, 1.7578125, 1.26953125, 2.83203125]","[1.3671875, 1.07421875, 1.171875, 0.87890625, 2.05078125]","[19, 25, 23, 22, 27]"
1,FakeTorino,4,"[925.0751953125, 1334.71826171875, 963.22509765625, 1286.09619140625, 717.39111328125]","[5.56640625, 4.6875, 6.0546875, 8.10546875, 6.640625]","[4.39453125, 3.61328125, 0.5859375, 6.8359375, 4.8828125]","[33, 29, 25, 22, 28]"
1,FakeTorino,3,"[1005.43603515625, 1475.13037109375, 901.640625, 1340.76123046875, 789.46826171875]","[4.00390625, 2.83203125, 6.640625, 4.78515625, 8.203125]","[3.80859375, 2.1484375, 4.4921875, 4.00390625, 5.6640625]","[22, 28, 22, 23, 24]"
1,FakeBrisbane,4,"[996.201171875, 1366.14599609375, 1025.49658203125, 1430.24853515625, 831.2646484375]","[3.80859375, 3.3203125, 2.1484375, 4.98046875, 4.6875]","[2.34375, 1.66015625, 0.29296875, 4.00390625, 3.61328125]","[22, 26, 26, 21, 26]"
1,FakeBrisbane,3,"[1104.140625, 1439.41162109375, 1086.8896484375, 1471.6572265625, 852.7734375]","[1.5625, 3.61328125, 1.7578125, 2.734375, 3.125]","[1.46484375, 2.5390625, 0.9765625, 1.953125, 1.85546875]","[18, 18, 23, 20, 25]"
2,FakeKyiv,4,"[60.33129507211538, 85.95277944711539, 89.34163161057693, 111.13817608173076, 86.65860877403846]","[0.390625, 0.09765625, 0.09765625, 0.09765625, 0.1953125]","[0.09765625, 0, 0, 0, 0.09765625]","[33, 29, 35, 31, 27]"
2,FakeKyiv,3,"[68.29903846153846, 100.11588040865385, 100.63802584134615]","[0.29296875, 0, 0.09765625]","[0, 0, 0]","[26, 26, 31]"
2,FakeTorino,4,"[57.11404747596154, 64.89280348557692, 75.77116887019231, 91.98786057692308, 77.44701021634616]","[2.05078125, 1.46484375, 1.46484375, 0.390625, 0.68359375]","[0.29296875, 0, 0, 0, 0.1953125]","[25, 31, 33, 35, 29]"
2,FakeTorino,3,"[61.667788461538464, 76.48566706730769, 85.6815655048077]","[2.34375, 1.46484375, 1.07421875]","[0.09765625, 0.390625, 0.09765625]","[36, 30, 35]"
2,FakeBrisbane,4,"[57.687545072115384, 76.05283954326923, 90.97698317307692, 101.2641826923077, 91.55602463942307]","[1.07421875, 0.68359375, 0.1953125, 0.1953125, 0.09765625]","[0.09765625, 0, 0.1953125, 0, 0]","[26, 34, 27, 29, 30]"
2,FakeBrisbane,3,"[74.8091045673077, 99.044140625, 102.80703125]","[0.5859375, 0.09765625, 0.29296875]","[0, 0, 0.09765625]","[28, 29, 26]"
