pkid,method,layers,depth,culled_depth
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
0,penalty,7,151,56
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
1,penalty,7,241,88
