pkid,layers,method,depth,culled_depth
0,1,commute,138.0,44.0
0,1,commute*,138.0,43.0
0,7,HEA,85.0,42.0
0,7,cyclic,291.0,91.0
0,7,penalty,151.0,56.0
1,1,commute,867.0,341.0
1,1,commute*,602.0,221.0
1,7,HEA,141.0,98.0
1,7,cyclic,331.0,99.0
1,7,penalty,241.0,88.0
2,1,commute,1640.0,665.0
2,1,commute*,920.0,275.0
2,7,HEA,190.0,147.0
2,7,cyclic,401.0,134.0
2,7,penalty,268.0,92.0
3,1,commute,2413.0,989.0
3,1,commute*,1388.0,421.0
3,7,HEA,239.0,196.0
3,7,cyclic,499.0,162.0
3,7,penalty,313.0,108.0
4,1,commute,504.0,168.0
4,1,commute*,378.0,124.0
4,7,HEA,127.0,84.0
4,7,cyclic,522.12,230.08
4,7,penalty,391.12,188.08
5,1,commute,1202.28,518.56
5,1,commute*,877.12,358.39
5,7,HEA,148.0,105.0
5,7,cyclic,592.86,263.24
5,7,penalty,461.86,221.24
6,1,commute,1809.84,768.71
6,1,commute*,1444.32,585.77
6,7,HEA,211.0,168.0
6,7,cyclic,1297.36,708.24
6,7,penalty,1120.36,654.24
7,1,commute,2543.5625,1114.625
7,1,commute*,2117.6875,906.0625
7,7,HEA,239.0,196.0
7,7,cyclic,1367.1875,737.125
7,7,penalty,1190.1875,683.125
8,1,commute,362.78,114.74
8,1,commute*,248.54,79.18
8,7,HEA,99.0,56.0
8,7,cyclic,390.41,150.44
8,7,penalty,273.41,115.44
9,1,commute,1202.82,385.36
9,1,commute*,1057.31,324.05
9,7,HEA,169.0,126.0
9,7,cyclic,535.47,244.08
9,7,penalty,425.59,202.08
10,1,commute,1680.74,538.27
10,1,commute*,1519.03,463.96
10,7,HEA,211.0,168.0
10,7,cyclic,632.64,306.32
10,7,penalty,536.75,264.32
11,1,commute,1919.53,614.71
11,1,commute*,1750.36,534.05
11,7,HEA,232.0,189.0
11,7,cyclic,682.68,338.34
11,7,penalty,593.87,296.34
