pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,1,6,3,commute,0.9595334401247833,100.0,99.77395833333333,39.29333333333334
1,1,14,9,commute,0.4557009214973158,100.0,53.959635416666664,51.526666666666664
2,1,21,12,commute,0.7916360575784933,100.0,30.046875,52.22666666666667
3,1,28,15,commute,1.0045666631295787,100.0,13.3203125,50.68666666666667
4,1,12,6,commute,0.0006510416666666666,100.0,99.93489583333333,51.333333333333336
5,1,15,9,commute,0.5,100.0,99.8046875,39.666666666666664
6,1,24,12,commute,0.42867838541666664,100.0,81.23046875,56.13333333333333
7,1,28,16,commute,0.4971923828125,100.0,30.26123046875,50.8125
8,1,8,6,commute,0.3340129958038058,100.0,86.091796875,46.07333333333333
9,1,18,9,commute,0.231003445171214,100.0,52.551432291666664,54.266666666666666
10,1,24,11,commute,0.286243419982393,100.0,21.108072916666668,55.86666666666667
11,1,27,12,commute,0.29725757863448576,100.0,13.300130208333334,55.846666666666664
