method, loss
HEA,996.705078125
HEA,847.68359375
HEA,872.5263671875
HEA,956.2490234375
HEA,1005.46875
HEA,1067.39453125
HEA,1026.4140625
HEA,954.0107421875
HEA,923.1279296875
HEA,893.609375
HEA,935.1640625
HEA,967.3955078125
HEA,995.2275390625
HEA,974.9033203125
HEA,999.9580078125
HEA,1031.45703125
HEA,1037.1181640625
HEA,1035.6162109375
HEA,1019.9208984375
HEA,896.9736328125
HEA,820.4384765625
HEA,800.5107421875
HEA,777.26171875
HEA,801.2177734375
HEA,747.0859375
HEA,762.859375
HEA,717.73046875
HEA,699.2294921875
HEA,650.5556640625
HEA,658.7548828125
HEA,643.2197265625
HEA,668.6181640625
HEA,681.6123046875
HEA,673.193359375
HEA,630.55859375
HEA,630.7822265625
HEA,670.919921875
HEA,703.4296875
HEA,706.6953125
HEA,716.4443359375
HEA,741.41015625
HEA,860.423828125
HEA,881.958984375
HEA,942.12890625
HEA,927.87109375
HEA,932.287109375
HEA,900.1943359375
HEA,872.0517578125
HEA,858.0107421875
HEA,855.857421875
HEA,843.5556640625
HEA,846.4951171875
HEA,852.2666015625
HEA,823.8896484375
HEA,815.228515625
HEA,782.859375
HEA,794.7138671875
HEA,804.5888671875
HEA,793.6875
HEA,819.666015625
HEA,792.671875
HEA,792.9873046875
HEA,791.8232421875
HEA,863.6044921875
HEA,885.7421875
HEA,840.27734375
HEA,817.515625
HEA,783.275390625
HEA,735.6396484375
HEA,713.083984375
HEA,706.8701171875
HEA,705.048828125
HEA,709.5595703125
HEA,728.1455078125
HEA,723.328125
HEA,686.537109375
HEA,638.43359375
HEA,613.08203125
HEA,590.361328125
HEA,612.28515625
HEA,590.71484375
HEA,564.376953125
HEA,595.64453125
HEA,584.5615234375
HEA,487.85546875
HEA,484.5244140625
HEA,503.5263671875
HEA,492.9833984375
HEA,511.48046875
HEA,519.923828125
HEA,559.7666015625
HEA,584.56640625
HEA,566.8974609375
HEA,573.3759765625
HEA,694.4619140625
HEA,639.2841796875
HEA,632.8271484375
HEA,652.91015625
HEA,653.4306640625
HEA,666.6630859375
HEA,692.7109375
HEA,705.572265625
HEA,720.26953125
HEA,749.9970703125
HEA,744.359375
HEA,762.2763671875
HEA,777.0029296875
HEA,804.1748046875
HEA,816.119140625
HEA,825.5048828125
HEA,838.6396484375
HEA,848.7724609375
HEA,830.955078125
HEA,836.4970703125
HEA,795.8759765625
HEA,812.9619140625
HEA,798.123046875
HEA,794.8017578125
HEA,792.0078125
HEA,751.5966796875
HEA,756.923828125
HEA,756.736328125
HEA,759.5625
HEA,746.0634765625
HEA,708.4267578125
HEA,718.79296875
HEA,703.126953125
HEA,700.8193359375
HEA,702.08203125
HEA,744.703125
HEA,709.083984375
HEA,689.509765625
HEA,663.1650390625
HEA,605.7783203125
HEA,574.15234375
HEA,576.1318359375
HEA,593.8662109375
HEA,532.689453125
HEA,556.6357421875
HEA,574.0263671875
HEA,593.8095703125
HEA,595.6416015625
HEA,577.595703125
HEA,557.3935546875
HEA,571.4736328125
HEA,544.794921875
HEA,555.2119140625
HEA,555.8505859375
HEA,582.1640625
HEA,586.046875
