method, loss
cyclic,1069.5400390625
cyclic,568.5224609375
cyclic,718.2470703125
cyclic,584.39453125
cyclic,623.509765625
cyclic,737.3232421875
cyclic,765.3154296875
cyclic,699.9931640625
cyclic,587.9619140625
cyclic,619.654296875
cyclic,620.7197265625
cyclic,484.55078125
cyclic,498.6611328125
cyclic,533.5478515625
cyclic,461.62890625
cyclic,444.228515625
cyclic,426.3369140625
cyclic,417.2021484375
cyclic,397.484375
cyclic,360.1611328125
cyclic,369.84765625
cyclic,370.90234375
cyclic,419.591796875
cyclic,341.9814453125
cyclic,383.84375
cyclic,408.5458984375
cyclic,432.3818359375
cyclic,399.66015625
cyclic,408.9892578125
cyclic,398.5732421875
cyclic,348.37109375
cyclic,366.779296875
cyclic,401.3916015625
cyclic,361.919921875
cyclic,350.15625
cyclic,352.486328125
cyclic,345.5556640625
cyclic,352.568359375
cyclic,272.953125
cyclic,248.0615234375
cyclic,264.6474609375
cyclic,221.1123046875
cyclic,250.142578125
cyclic,169.845703125
cyclic,158.1865234375
cyclic,176.759765625
cyclic,164.228515625
cyclic,150.626953125
cyclic,148.2802734375
cyclic,148.9677734375
cyclic,141.638671875
cyclic,126.4052734375
cyclic,114.697265625
cyclic,121.4365234375
cyclic,121.3466796875
cyclic,126.6416015625
cyclic,118.5693359375
cyclic,151.859375
cyclic,149.515625
cyclic,135.8798828125
cyclic,170.5234375
cyclic,178.953125
cyclic,158.845703125
cyclic,212.40234375
cyclic,180.30078125
cyclic,146.279296875
cyclic,163.8896484375
cyclic,161.2841796875
cyclic,149.62890625
cyclic,167.78125
cyclic,141.453125
cyclic,157.51953125
cyclic,154.51953125
cyclic,170.5556640625
cyclic,156.7548828125
cyclic,156.4609375
cyclic,156.638671875
cyclic,155.8447265625
cyclic,131.9267578125
cyclic,158.095703125
cyclic,147.78125
cyclic,154.1669921875
cyclic,181.5068359375
cyclic,145.3955078125
cyclic,145.458984375
cyclic,194.568359375
cyclic,136.2373046875
cyclic,168.9609375
cyclic,182.048828125
cyclic,152.2001953125
cyclic,138.6982421875
cyclic,165.0166015625
cyclic,146.4404296875
cyclic,157.283203125
cyclic,164.2236328125
cyclic,139.17578125
cyclic,146.390625
cyclic,136.1123046875
cyclic,139.134765625
cyclic,128.9833984375
cyclic,144.537109375
cyclic,169.2705078125
cyclic,139.021484375
cyclic,139.599609375
cyclic,172.0478515625
cyclic,203.3193359375
cyclic,213.66015625
cyclic,154.072265625
cyclic,135.28515625
cyclic,167.478515625
cyclic,155.87890625
cyclic,134.87109375
cyclic,136.212890625
cyclic,128.791015625
cyclic,136.671875
cyclic,139.484375
cyclic,176.076171875
cyclic,147.61328125
cyclic,161.7490234375
cyclic,175.0458984375
cyclic,160.48828125
cyclic,146.681640625
cyclic,134.1796875
cyclic,120.5625
cyclic,118.275390625
cyclic,120.8505859375
cyclic,131.3857421875
cyclic,148.3359375
cyclic,170.4677734375
cyclic,161.30859375
cyclic,193.560546875
cyclic,183.001953125
cyclic,208.0078125
cyclic,177.4541015625
cyclic,157.4921875
cyclic,186.033203125
cyclic,169.546875
cyclic,164.3154296875
cyclic,174.505859375
cyclic,207.2080078125
cyclic,193.236328125
cyclic,215.1279296875
cyclic,131.4423828125
cyclic,170.701171875
cyclic,211.025390625
cyclic,183.2705078125
cyclic,125.2412109375
cyclic,116.93359375
cyclic,142.1005859375
cyclic,150.4990234375
