method, loss
penalty,940.498046875
penalty,713.76171875
penalty,1038.9658203125
penalty,746.8154296875
penalty,865.2490234375
penalty,910.2421875
penalty,980.525390625
penalty,803.1484375
penalty,701.4296875
penalty,708.6806640625
penalty,671.7783203125
penalty,729.576171875
penalty,724.8662109375
penalty,683.0927734375
penalty,681.91015625
penalty,719.236328125
penalty,694.1259765625
penalty,657.015625
penalty,671.7333984375
penalty,691.9375
penalty,668.8837890625
penalty,694.0830078125
penalty,762.39453125
penalty,750.9521484375
penalty,706.8125
penalty,757.6064453125
penalty,730.3935546875
penalty,723.1435546875
penalty,702.953125
penalty,714.3095703125
penalty,670.396484375
penalty,655.69140625
penalty,594.677734375
penalty,641.666015625
penalty,610.4013671875
penalty,536.33984375
penalty,539.9033203125
penalty,488.0107421875
penalty,471.224609375
penalty,477.6259765625
penalty,473.568359375
penalty,485.154296875
penalty,486.7099609375
penalty,560.068359375
penalty,499.130859375
penalty,607.1279296875
penalty,589.0498046875
penalty,608.1728515625
penalty,546.0927734375
penalty,528.0146484375
penalty,538.11328125
penalty,511.5595703125
penalty,526.2490234375
penalty,525.478515625
penalty,529.8642578125
penalty,492.501953125
penalty,462.5185546875
penalty,474.6259765625
penalty,448.228515625
penalty,464.9423828125
penalty,495.4599609375
penalty,487.419921875
penalty,491.58203125
penalty,466.0302734375
penalty,463.6875
penalty,486.623046875
penalty,478.2255859375
penalty,456.6708984375
penalty,467.720703125
penalty,462.689453125
penalty,474.318359375
penalty,458.486328125
penalty,426.50390625
penalty,450.9921875
penalty,462.9755859375
penalty,457.8994140625
penalty,442.7900390625
penalty,477.880859375
penalty,447.236328125
penalty,458.7314453125
penalty,450.1005859375
penalty,476.185546875
penalty,499.3232421875
penalty,478.8798828125
penalty,532.328125
penalty,493.462890625
penalty,477.0244140625
penalty,544.3623046875
penalty,477.7080078125
penalty,489.6103515625
penalty,458.3232421875
penalty,477.52734375
penalty,409.546875
penalty,406.712890625
penalty,365.755859375
penalty,372.90625
penalty,367.5234375
penalty,379.3359375
penalty,409.9345703125
penalty,408.0732421875
penalty,395.0673828125
penalty,393.9453125
penalty,443.72265625
penalty,422.3818359375
penalty,419.056640625
penalty,392.1845703125
penalty,396.4287109375
penalty,384.8251953125
penalty,382.7265625
penalty,374.623046875
penalty,375.7041015625
penalty,329.8466796875
penalty,371.8291015625
penalty,346.1533203125
penalty,372.28125
penalty,355.4296875
penalty,394.830078125
penalty,353.720703125
penalty,390.689453125
penalty,372.7978515625
penalty,429.076171875
penalty,386.4580078125
penalty,386.068359375
penalty,402.1171875
penalty,394.6259765625
penalty,381.234375
penalty,391.9423828125
penalty,381.7939453125
penalty,372.966796875
penalty,403.4580078125
penalty,400.8017578125
penalty,416.650390625
penalty,403.50390625
penalty,392.935546875
penalty,414.763671875
penalty,398.345703125
penalty,391.7109375
penalty,389.640625
penalty,402.5791015625
penalty,379.064453125
penalty,410.037109375
penalty,371.3974609375
penalty,425.0849609375
penalty,365.25
penalty,383.712890625
penalty,362.5791015625
penalty,374.7626953125
penalty,382.611328125
penalty,367.6201171875
penalty,359.89453125
