pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,7,6,3,cyclic,1.3945113098921642,38.677978515625,21.356201171875,150.125
1,7,15,8,cyclic,3.9002836572006636,1.373291015625,0.091552734375,138.1875
2,7,21,12,cyclic,3.6861174415668194,0.79345703125,0.030517578125,135.75
3,7,28,15,cyclic,5.826559478082645,0.74462890625,0.0,140.3125
4,7,12,6,cyclic,11.363932291666666,22.395833333333332,11.197916666666666,146.0
5,7,15,9,cyclic,17.010416666666668,13.048364583333336,0.8463541666666666,144.66666666666666
6,7,24,12,cyclic,13.013216145833333,3.388020833333336,0.807512019230769231,148.26666666666668
7,7,28,16,cyclic,16.59044471153846,1.670673076923077,0.3841145833333333,149.6153846153846
8,7,8,6,cyclic,0.5022789864348349,84.820556640625,38.238525390625,150.625
9,7,18,9,cyclic,1.1185541961369718,39.727783203125,14.208984375,144.375
10,7,24,11,cyclic,1.2107381584069099,31.56103515625,2.591796875,151.0
11,7,27,12,cyclic,2.789152916018668,8.2275390625,0.45361328125,140.25
