pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,0,1,6,3,commute,"[0.4375, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 31]"
0,1,1,6,3,commute,"[0.0, 0.875]","[100.0, 100.0]","[100.0, 0]","[13, 21]"
0,2,1,6,3,commute,"[0.0, 0.857421875]","[100.0, 100.0]","[100.0, 0]","[13, 18]"
0,3,1,6,3,commute,"[0.19047619047619047, 0.001488095238095238]","[100.0, 100.0]","[0, 99.8046875]","[13, 30]"
0,4,1,6,3,commute,"[1.2, 0.001953125]","[100.0, 100.0]","[0, 99.90234375]","[13, 29]"
0,5,1,6,3,commute,"[0.0, 0.6320415296052632]","[100.0, 100.0]","[100.0, 0]","[13, 28]"
0,6,1,6,3,commute,"[0.0, 0.056098090277777776]","[100.0, 100.0]","[100.0, 0]","[13, 28]"
0,7,1,6,3,commute,"[0.21739130434782608, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 27]"
0,8,1,6,3,commute,"[0.0, 2.8204345703125]","[100.0, 100.0]","[100.0, 0]","[13, 32]"
0,9,1,6,3,commute,"[0.0, 0.23529411764705882]","[100.0, 100.0]","[100.0, 0]","[13, 21]"
0,10,1,6,3,commute,"[0.0, 0.25]","[100.0, 100.0]","[100.0, 0]","[13, 30]"
0,11,1,6,3,commute,"[0.30434782608695654, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 25]"
0,12,1,6,3,commute,"[7.666666666666667, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 26]"
0,13,1,6,3,commute,"[0.0, 2.5740792410714284]","[100.0, 100.0]","[100.0, 0]","[13, 27]"
0,14,1,6,3,commute,"[0.631578947368421, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 25]"
0,15,1,6,3,commute,"[0.0, 0.25067138671875]","[100.0, 100.0]","[100.0, 0]","[13, 32]"
0,16,1,6,3,commute,"[0.43478260869565216, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 29]"
0,17,1,6,3,commute,"[0.7272727272727273, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 23]"
0,18,1,6,3,commute,"[0.15789473684210525, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 24]"
0,19,1,6,3,commute,"[0.0, 0.8235294117647058]","[100.0, 100.0]","[100.0, 0]","[13, 28]"
0,20,1,6,3,commute,"[0.0, 1.5418836805555556]","[100.0, 100.0]","[100.0, 0]","[13, 26]"
0,21,1,6,3,commute,"[0.2, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 21]"
0,22,1,6,3,commute,"[0.0, 0.23809523809523808]","[100.0, 100.0]","[100.0, 0]","[13, 24]"
0,23,1,6,3,commute,"[0.0, 0.047619047619047616]","[100.0, 100.0]","[100.0, 0]","[13, 23]"
0,24,1,6,3,commute,"[0.6, 0.0013671875]","[100.0, 100.0]","[0, 99.90234375]","[13, 26]"
0,25,1,6,3,commute,"[0.0, 0.4290364583333333]","[100.0, 100.0]","[100.0, 0]","[13, 24]"
0,26,1,6,3,commute,"[0.05263157894736842, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 34]"
0,27,1,6,3,commute,"[0.0, 3.0416259765625]","[100.0, 100.0]","[100.0, 0]","[13, 30]"
0,28,1,6,3,commute,"[0.0, 0.42120682565789475]","[100.0, 100.0]","[100.0, 0]","[13, 28]"
0,29,1,6,3,commute,"[0.25, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 25]"
0,30,1,6,3,commute,"[1.1538461538461537, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 23]"
0,31,1,6,3,commute,"[1.2222222222222223, 0.007378472222222222]","[100.0, 100.0]","[0, 99.609375]","[13, 28]"
0,32,1,6,3,commute,"[0.2857142857142857, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 22]"
0,33,1,6,3,commute,"[0.0, 1.2740589488636365]","[100.0, 100.0]","[100.0, 0]","[13, 32]"
0,34,1,6,3,commute,"[1.1666666666666667, 0.0035807291666666665]","[100.0, 100.0]","[0, 99.8046875]","[13, 27]"
0,35,1,6,3,commute,"[0.0, 0.23099459134615385]","[100.0, 100.0]","[100.0, 0]","[13, 25]"
0,36,1,6,3,commute,"[0.0, 0.14285714285714285]","[100.0, 100.0]","[100.0, 0]","[13, 23]"
0,37,1,6,3,commute,"[0.0, 5.481640625]","[100.0, 100.0]","[100.0, 0]","[13, 27]"
0,38,1,6,3,commute,"[1.8181818181818181, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 22]"
