pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,0,1,6,3,commute,"[0.0, 0.8571428571428571]","[100.0, 100.0]","[100.0, 0]","[13, 20]"
0,1,1,6,3,commute,"[0.0, 1.0]","[100.0, 100.0]","[100.0, 0]","[13, 25]"
0,2,1,6,3,commute,"[0.0, 0.6]","[100.0, 100.0]","[100.0, 0]","[13, 31]"
0,3,1,6,3,commute,"[0.0, 0.9934895833333334]","[100.0, 100.0]","[100.0, 0]","[13, 26]"
0,4,1,6,3,commute,"[0.0, 1.1813616071428572]","[100.0, 100.0]","[100.0, 0]","[13, 32]"
0,5,1,6,3,commute,"[0.5333333333333333, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 23]"
0,6,1,6,3,commute,"[3.0, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 27]"
0,7,1,6,3,commute,"[0.5, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 23]"
0,8,1,6,3,commute,"[0.0, 2.04296875]","[100.0, 100.0]","[100.0, 0]","[13, 26]"
0,9,1,6,3,commute,"[0.8125, 0.0030517578125]","[100.0, 100.0]","[0, 99.8046875]","[13, 25]"
0,10,1,6,3,commute,"[1.8888888888888888, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 31]"
0,11,1,6,3,commute,"[0.6470588235294118, 0.0010340073529411765]","[100.0, 100.0]","[0, 99.90234375]","[13, 25]"
0,12,1,6,3,commute,"[0.0, 2.4993896484375]","[100.0, 100.0]","[100.0, 0]","[13, 27]"
0,13,1,6,3,commute,"[0.21739130434782608, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 22]"
0,14,1,6,3,commute,"[0.0, 0.329345703125]","[100.0, 100.0]","[100.0, 0]","[13, 28]"
0,15,1,6,3,commute,"[0.045454545454545456, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 25]"
0,16,1,6,3,commute,"[0.0, 0.9337660845588235]","[100.0, 100.0]","[100.0, 0]","[13, 25]"
0,17,1,6,3,commute,"[0.0, 0.4351647418478261]","[100.0, 100.0]","[100.0, 0]","[13, 30]"
0,18,1,6,3,commute,"[0.47619047619047616, 0.0005115327380952381]","[100.0, 100.0]","[0, 99.90234375]","[13, 24]"
0,19,1,6,3,commute,"[1.875, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 25]"
0,20,1,6,3,commute,"[0.3333333333333333, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 23]"
0,21,1,6,3,commute,"[1.5, 0.0020751953125]","[100.0, 100.0]","[0, 99.90234375]","[13, 28]"
0,22,1,6,3,commute,"[0.6, 0.00078125]","[100.0, 100.0]","[0, 99.90234375]","[13, 30]"
0,23,1,6,3,commute,"[0.2608695652173913, 0.0]","[100.0, 100.0]","[0, 100.0]","[13, 31]"
