pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
4,0,1,12,6,commute,0.048502604166666664,100.0,0,20
4,1,1,12,6,commute,2.7134765625,100.0,16.89453125,26
4,2,1,12,6,commute,0.81640625,100.0,23.4375,32
4,3,1,12,6,commute,0.2222222222222222,100.0,0,22
4,4,1,12,6,commute,0.0010579427083333333,100.0,99.90234375,29
4,5,1,12,6,commute,0.5484561011904762,100.0,0,33
4,6,1,12,6,commute,1.12548828125,100.0,0,23
4,7,1,12,6,commute,0.0,100.0,100.0,26
4,8,1,12,6,commute,0.8621544471153846,100.0,0,31
4,9,1,12,6,commute,0.4444444444444444,100.0,0,24
4,10,1,12,6,commute,0.21770368303571427,100.0,0.68359375,28
4,11,1,12,6,commute,0.7569861778846154,100.0,35.83984375,36
4,12,1,12,6,commute,0.8461538461538461,100.0,0,19
4,13,1,12,6,commute,0.0,100.0,100.0,33
4,14,1,12,6,commute,0.554931640625,100.0,0,37
4,15,1,12,6,commute,0.4117647058823529,100.0,0,21
4,16,1,12,6,commute,0.0010986328125,100.0,99.90234375,26
4,17,1,12,6,commute,0.27857349537037035,100.0,25.09765625,34
4,18,1,12,6,commute,0.5337890625,100.0,0,30
4,19,1,12,6,commute,0.9735107421875,100.0,13.0859375,30
4,20,1,12,6,commute,0.3395889945652174,100.0,26.66015625,32
4,21,1,12,6,commute,0.0,100.0,100.0,23
4,22,1,12,6,commute,0.23809523809523808,100.0,0,23
4,23,1,12,6,commute,0.6873914930555556,100.0,0,31
4,24,1,12,6,commute,0.22580645161290322,100.0,0,24
4,25,1,12,6,commute,0.0,100.0,100.0,22
4,26,1,12,6,commute,1.1643880208333333,100.0,0,32
4,27,1,12,6,commute,0.4121668198529412,100.0,0,29
4,28,1,12,6,commute,1.00322265625,100.0,0,31
4,29,1,12,6,commute,0.5421875,100.0,21.97265625,37
4,30,1,12,6,commute,0.6666666666666666,100.0,0,22
4,31,1,12,6,commute,0.0,100.0,100.0,24
4,32,1,12,6,commute,0.2787109375,100.0,0,33
4,33,1,12,6,commute,0.10714285714285714,100.0,0,24
4,34,1,12,6,commute,0.0,100.0,100.0,24
4,35,1,12,6,commute,0.54376220703125,100.0,37.01171875,36
4,36,1,12,6,commute,2.232421875,100.0,12.40234375,33
4,37,1,12,6,commute,0.0,100.0,100.0,21
4,38,1,12,6,commute,0.983984375,100.0,23.828125,29
4,39,1,12,6,commute,0.1111111111111111,100.0,0,23
4,40,1,12,6,commute,5.333333333333333,100.0,0,29
4,41,1,12,6,commute,0.96533203125,100.0,41.69921875,35
4,42,1,12,6,commute,0.45454545454545453,100.0,0,27
4,43,1,12,6,commute,0.0,100.0,100.0,24
4,44,1,12,6,commute,0.2972935267857143,100.0,25.87890625,33
4,45,1,12,6,commute,0.0,100.0,100.0,22
4,46,1,12,6,commute,0.09723772321428571,100.0,0.09765625,28
4,47,1,12,6,commute,0.31431361607142855,100.0,24.51171875,31
4,48,1,12,6,commute,0.125,100.0,0,23
4,49,1,12,6,commute,0.4666666666666667,100.0,0,34
4,50,1,12,6,commute,0.56060791015625,100.0,0,38
4,51,1,12,6,commute,0.00067138671875,100.0,99.90234375,29
4,52,1,12,6,commute,0.0,100.0,100.0,22
4,53,1,12,6,commute,0.29476768092105265,100.0,38.96484375,34
4,54,1,12,6,commute,0.6153846153846154,100.0,0,22
4,55,1,12,6,commute,0.3890904017857143,100.0,0,27
4,56,1,12,6,commute,0.5112561677631579,100.0,39.0625,33
4,57,1,12,6,commute,2.5006510416666665,100.0,0,29
4,58,1,12,6,commute,0.14285714285714285,100.0,0,24
4,59,1,12,6,commute,0.33823939732142855,100.0,25.0,31
4,60,1,12,6,commute,1.75,100.0,0,24
4,61,1,12,6,commute,0.03333333333333333,100.0,0,22
4,62,1,12,6,commute,0.8287464488636364,100.0,24.31640625,37
4,63,1,12,6,commute,0.0,100.0,100.0,25
4,64,1,12,6,commute,0.5485026041666666,100.0,13.96484375,27
4,65,1,12,6,commute,0.31649116847826086,100.0,25.09765625,34
4,66,1,12,6,commute,1.0,100.0,0,27
4,67,1,12,6,commute,1.5426432291666667,100.0,19.23828125,31
4,68,1,12,6,commute,0.4490411931818182,100.0,0,31
4,69,1,12,6,commute,0.0,100.0,100.0,24
4,70,1,12,6,commute,0.0,100.0,100.0,22
4,71,1,12,6,commute,0.28564453125,100.0,61.9140625,32
4,72,1,12,6,commute,0.0,100.0,100.0,29
4,73,1,12,6,commute,0.001806640625,100.0,99.4140625,30
4,74,1,12,6,commute,0.51904296875,100.0,26.66015625,35
4,75,1,12,6,commute,0.21052631578947367,100.0,0,32
4,76,1,12,6,commute,0.0034623579545454545,100.0,99.51171875,32
4,77,1,12,6,commute,2.371875,100.0,23.53515625,33
4,78,1,12,6,commute,0.000625,100.0,99.90234375,31
4,79,1,12,6,commute,0.2777777777777778,100.0,0,29
4,80,1,12,6,commute,0.5463423295454546,100.0,34.86328125,29
4,81,1,12,6,commute,0.150537109375,100.0,0,25
4,82,1,12,6,commute,0.34405307112068967,100.0,0,30
4,83,1,12,6,commute,0.6192294034090909,100.0,38.57421875,32
4,84,1,12,6,commute,0.5,100.0,0,23
4,85,1,12,6,commute,0.9046223958333334,100.0,7.2265625,28
4,86,1,12,6,commute,0.90966796875,100.0,0,32
4,87,1,12,6,commute,0.7663010817307693,100.0,14.6484375,31
4,88,1,12,6,commute,1.2026742788461537,100.0,14.6484375,27
4,89,1,12,6,commute,0.320556640625,100.0,40.91796875,32
4,90,1,12,6,commute,0.6666666666666666,100.0,0,22
4,91,1,12,6,commute,0.5762567934782609,100.0,17.08984375,26
4,92,1,12,6,commute,0.47607421875,100.0,23.73046875,33
4,93,1,12,6,commute,0.5652173913043478,100.0,0,22
4,94,1,12,6,commute,0.10693359375,100.0,1.26953125,28
4,95,1,12,6,commute,0.3232421875,100.0,0,30
4,96,1,12,6,commute,0.15534855769230768,100.0,0,27
4,97,1,12,6,commute,0.5,100.0,0,25
4,98,1,12,6,commute,0.734118009868421,100.0,0,33
4,99,1,12,6,commute,0.034505208333333336,100.0,0,26
4,100,1,12,6,commute,2.1099330357142856,100.0,16.796875,33
4,101,1,12,6,commute,0.2995689655172414,100.0,25.78125,37
4,102,1,12,6,commute,1.246826171875,100.0,15.33203125,31
4,103,1,12,6,commute,0.0,100.0,100.0,25
4,104,1,12,6,commute,0.28821910511363635,100.0,25.1953125,35
4,105,1,12,6,commute,0.0,100.0,100.0,28
4,106,1,12,6,commute,0.5833333333333334,100.0,0,22
4,107,1,12,6,commute,0.29609375,100.0,26.3671875,30
4,108,1,12,6,commute,0.5882352941176471,100.0,0,27
4,109,1,12,6,commute,0.23690257352941177,100.0,1.07421875,27
4,110,1,12,6,commute,0.5808376736111112,100.0,0,32
4,111,1,12,6,commute,0.5454545454545454,100.0,0,24
4,112,1,12,6,commute,0.0,100.0,100.0,29
4,113,1,12,6,commute,1.2025669642857142,100.0,40.625,30
4,114,1,12,6,commute,0.0030048076923076925,100.0,99.8046875,29
4,115,1,12,6,commute,0.047619047619047616,100.0,0,23
4,116,1,12,6,commute,0.8173828125,100.0,33.69140625,30
4,117,1,12,6,commute,0.2222222222222222,100.0,0,24
4,118,1,12,6,commute,0.6647135416666666,100.0,2.44140625,32
4,119,1,12,6,commute,0.34232954545454547,100.0,25.78125,30
4,120,1,12,6,commute,0.0006184895833333333,100.0,99.90234375,23
4,121,1,12,6,commute,0.46153846153846156,100.0,0,22
4,122,1,12,6,commute,0.38882211538461536,100.0,0,32
4,123,1,12,6,commute,0.5,100.0,0,22
4,124,1,12,6,commute,0.8039202008928571,100.0,0,35
4,125,1,12,6,commute,2.493896484375,100.0,38.37890625,30
4,126,1,12,6,commute,0.001201923076923077,100.0,99.90234375,22
4,127,1,12,6,commute,0.0016276041666666667,100.0,99.90234375,30
4,128,1,12,6,commute,3.453369140625,100.0,0,28
4,129,1,12,6,commute,0.0,100.0,100.0,30
4,130,1,12,6,commute,1.0346304086538463,100.0,17.96875,28
4,131,1,12,6,commute,0.57421875,100.0,38.671875,30
4,132,1,12,6,commute,0.8192608173076923,100.0,13.0859375,29
4,133,1,12,6,commute,0.0,100.0,100.0,23
4,134,1,12,6,commute,2.221958705357143,100.0,0,27
4,135,1,12,6,commute,0.0,100.0,100.0,25
4,136,1,12,6,commute,0.746337890625,100.0,1.953125,29
4,137,1,12,6,commute,0.40008544921875,100.0,38.76953125,32
4,138,1,12,6,commute,0.52109375,100.0,0,30
4,139,1,12,6,commute,0.2593677662037037,100.0,0.09765625,29
4,140,1,12,6,commute,0.451171875,100.0,0,29
4,141,1,12,6,commute,0.4459635416666667,100.0,0,30
4,142,1,12,6,commute,0.001708984375,100.0,99.8046875,30
4,143,1,12,6,commute,0.7009943181818182,100.0,24.70703125,30
4,144,1,12,6,commute,1.4443359375,100.0,16.2109375,29
4,145,1,12,6,commute,0.0020228794642857145,100.0,99.8046875,31
4,146,1,12,6,commute,0.6322157118055556,100.0,0,36
4,147,1,12,6,commute,0.0,100.0,100.0,21
4,148,1,12,6,commute,1.0121372767857142,100.0,18.06640625,31
4,149,1,12,6,commute,0.47087545955882354,100.0,0,30
4,150,1,12,6,commute,0.1015625,100.0,0,30
4,151,1,12,6,commute,0.00027901785714285713,100.0,99.90234375,31
4,152,1,12,6,commute,0.21823601973684212,100.0,62.3046875,29
4,153,1,12,6,commute,2.2857142857142856,100.0,0,24
4,154,1,12,6,commute,0.0,100.0,100.0,25
4,155,1,12,6,commute,0.491943359375,100.0,37.98828125,35
4,156,1,12,6,commute,0.45454545454545453,100.0,0,27
4,157,1,12,6,commute,2.25,100.0,0,22
4,158,1,12,6,commute,0.50933837890625,100.0,36.328125,31
4,159,1,12,6,commute,0.02729235197368421,100.0,0,27
4,160,1,12,6,commute,0.4470486111111111,100.0,0.87890625,29
4,161,1,12,6,commute,0.8369140625,100.0,37.40234375,29
