pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
4,0,7,12,6,cyclic,0.3058888268849204,10.7421875,4.8828125,151
4,1,7,12,6,cyclic,1.945784505208333,10.05859375,2.83203125,128
4,2,7,12,6,cyclic,0.3967488606770837,8.49609375,4.8828125,145
4,3,7,12,6,cyclic,0.23416702835648215,9.375,3.22265625,145
4,4,7,12,6,cyclic,0.21620686848958393,4.78515625,0.09765625,151
4,5,7,12,6,cyclic,0.252123635912698,11.5234375,4.78515625,151
4,6,7,12,6,cyclic,0.7188415527343748,18.5546875,9.9609375,151
4,7,7,12,6,cyclic,0.4721896701388881,9.1796875,5.078125,149
4,8,7,12,6,cyclic,0.4529935396634613,6.640625,3.515625,151
4,9,7,12,6,cyclic,0.3236174406828706,9.08203125,4.1015625,151
4,10,7,12,6,cyclic,0.20065452938988088,2.1484375,1.26953125,151
4,11,7,12,6,cyclic,0.5466809395032046,8.49609375,1.07421875,147
4,12,7,12,6,cyclic,0.7243840144230774,12.6953125,4.00390625,151
4,13,7,12,6,cyclic,0.47285970052083365,5.6640625,0.09765625,151
4,14,7,12,6,cyclic,0.24929300944010468,8.0078125,3.7109375,151
4,15,7,12,6,cyclic,0.2266726026348042,22.55859375,17.96875,146
4,16,7,12,6,cyclic,0.28626505533854263,16.11328125,0,151
4,17,7,12,6,cyclic,0.06937210648148108,8.10546875,3.90625,151
4,18,7,12,6,cyclic,0.35311414930555524,24.31640625,21.09375,132
4,19,7,12,6,cyclic,0.7213846842447922,8.0078125,3.125,145
4,20,7,12,6,cyclic,0.03129953577898556,9.765625,1.26953125,151
4,21,7,12,6,cyclic,0.455694289434524,20.99609375,12.890625,151
4,22,7,12,6,cyclic,0.2183624751984126,22.8515625,15.8203125,149
4,23,7,12,6,cyclic,0.31028464988425913,9.47265625,2.24609375,136
4,24,7,12,6,cyclic,0.12389480426747373,12.01171875,2.44140625,151
4,25,7,12,6,cyclic,1.7459147135416682,7.71484375,3.22265625,142
4,26,7,12,6,cyclic,0.5887179904513884,6.54296875,1.26953125,151
4,27,7,12,6,cyclic,0.25764016544117707,11.1328125,2.83203125,151
4,28,7,12,6,cyclic,0.41782226562499947,14.84375,12.6953125,151
4,29,7,12,6,cyclic,0.07820638020833356,4.39453125,3.02734375,151
4,30,7,12,6,cyclic,0.4921874999999998,12.5,3.515625,151
4,31,7,12,6,cyclic,0.2319725147192031,8.10546875,3.22265625,134
4,32,7,12,6,cyclic,0.10142822265624982,14.74609375,0.5859375,149
4,33,7,12,6,cyclic,0.055742536272321175,7.421875,3.61328125,151
4,34,7,12,6,cyclic,0.8822970920138893,19.23828125,16.30859375,149
4,35,7,12,6,cyclic,0.32613627115885446,9.9609375,5.078125,151
4,36,7,12,6,cyclic,1.314751519097222,9.5703125,1.66015625,151
4,37,7,12,6,cyclic,0.09720147824754874,14.453125,10.546875,151
4,38,7,12,6,cyclic,0.7172444661458336,14.84375,3.80859375,137
4,39,7,12,6,cyclic,0.09653501157407263,10.83984375,0.390625,151
4,40,7,12,6,cyclic,2.9706217447916656,24.31640625,21.2890625,151
4,41,7,12,6,cyclic,0.6740519205729174,3.80859375,0.390625,151
4,42,7,12,6,cyclic,0.21512118252840876,6.8359375,2.83203125,151
4,43,7,12,6,cyclic,0.27914089626736144,20.3125,16.796875,151
4,44,7,12,6,cyclic,0.15719168526785715,8.3984375,1.07421875,151
4,45,7,12,6,cyclic,0.24666341145833354,11.71875,5.37109375,143
4,46,7,12,6,cyclic,0.07142857142857041,8.10546875,3.41796875,151
4,47,7,12,6,cyclic,0.10902041480654757,8.49609375,1.7578125,151
4,48,7,12,6,cyclic,0.30438232421875,15.91796875,3.125,151
4,49,7,12,6,cyclic,0.5542914496527777,8.203125,3.02734375,137
4,50,7,12,6,cyclic,0.18426513671875,7.91015625,1.953125,151
4,51,7,12,6,cyclic,0.11890665690104152,8.88671875,3.41796875,151
4,52,7,12,6,cyclic,0.35310194227430625,6.93359375,4.296875,151
4,53,7,12,6,cyclic,0.14152874862938591,7.51953125,2.63671875,151
