pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
4,0,1,12,6,commute,"[0.048502604166666664, 0.0]","[100.0, 100.0]","[0, 100.0]","[26, 19]"
4,1,1,12,6,commute,"[2.93515625, 3.0]","[100.0, 100.0]","[14.35546875, 0]","[30, 22]"
4,2,1,12,6,commute,"[0.2523193359375, 0.0]","[100.0, 100.0]","[0.09765625, 100.0]","[28, 22]"
4,3,1,12,6,commute,"[0.22352430555555555, 0.3355034722222222]","[100.0, 100.0]","[0, 0]","[31, 29]"
4,4,1,12,6,commute,"[0.5266927083333334, 0.0]","[100.0, 100.0]","[38.0859375, 100.0]","[31, 19]"
4,5,1,12,6,commute,"[0.0, 0.0]","[100.0, 100.0]","[100.0, 100.0]","[27, 23]"
4,6,1,12,6,commute,"[0.8887939453125, 0.0]","[100.0, 100.0]","[36.23046875, 100.0]","[27, 22]"
4,7,1,12,6,commute,"[0.4666666666666667, 0.0]","[100.0, 100.0]","[0, 100.0]","[22, 29]"
4,8,1,12,6,commute,"[0.0, 0.0]","[100.0, 100.0]","[100.0, 100.0]","[23, 23]"
4,9,1,12,6,commute,"[0.4440104166666667, 0.0]","[100.0, 100.0]","[0.09765625, 100.0]","[29, 24]"
4,10,1,12,6,commute,"[0.5076032366071429, 0.21428571428571427]","[100.0, 100.0]","[14.55078125, 0]","[32, 19]"
4,11,1,12,6,commute,"[0.6153846153846154, 0.6194411057692307]","[100.0, 100.0]","[0, 0]","[23, 32]"
4,12,1,12,6,commute,"[0.8461538461538461, 0.8461538461538461]","[100.0, 100.0]","[0, 0]","[23, 24]"
4,13,1,12,6,commute,"[0.6016322544642857, 0.0]","[100.0, 100.0]","[38.57421875, 100.0]","[28, 19]"
4,14,1,12,6,commute,"[0.0, 0.0]","[100.0, 100.0]","[100.0, 100.0]","[24, 29]"
4,15,1,12,6,commute,"[0.3821231617647059, 0.0004021139705882353]","[100.0, 100.0]","[35.546875, 99.90234375]","[31, 27]"
4,16,1,12,6,commute,"[0.375, 0.0]","[100.0, 100.0]","[0, 100.0]","[23, 24]"
4,17,1,12,6,commute,"[0.32902922453703703, 0.0]","[100.0, 100.0]","[37.3046875, 100.0]","[34, 19]"
4,18,1,12,6,commute,"[0.4916015625, 0.0]","[100.0, 100.0]","[36.23046875, 100.0]","[31, 19]"
4,19,1,12,6,commute,"[1.129638671875, 1.0]","[100.0, 100.0]","[11.81640625, 0]","[27, 19]"
4,20,1,12,6,commute,"[0.345023777173913, 0.0]","[100.0, 100.0]","[38.671875, 100.0]","[27, 22]"
4,21,1,12,6,commute,"[0.002650669642857143, 0.0013253348214285715]","[100.0, 100.0]","[99.8046875, 99.90234375]","[29, 27]"
