pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,0,7,6,3,cyclic,0.18596540178571447,8.49609375,6.25,151
0,1,7,6,3,cyclic,0.17962239583333303,5.76171875,5.17578125,151
0,2,7,6,3,cyclic,0.07734375000000024,61.9140625,55.37109375,151
0,3,7,6,3,cyclic,0.11414930555555536,5.078125,5.078125,151
0,4,7,6,3,cyclic,0.2434198288690477,12.20703125,11.42578125,144
0,5,7,6,3,cyclic,0.2509548611111112,5.859375,1.66015625,151
0,6,7,6,3,cyclic,0.2272600446428574,17.48046875,17.48046875,151
0,7,7,6,3,cyclic,0.20572916666666655,1.171875,1.171875,151
0,8,7,6,3,cyclic,0.3243815104166665,13.28125,8.7890625,151
0,9,7,6,3,cyclic,0.11637369791666663,13.28125,9.66796875,151
0,10,7,6,3,cyclic,0.06763599537037024,13.0859375,10.44921875,151
0,11,7,6,3,cyclic,0.0017616421568630238,2.63671875,1.5625,151
0,12,7,6,3,cyclic,0.14721679687500022,13.28125,12.5,151
0,13,7,6,3,cyclic,0.36890002264492755,0.390625,0.1953125,151
0,14,7,6,3,cyclic,0.1310221354166671,8.30078125,7.32421875,151
0,15,7,6,3,cyclic,0.13257575757575732,2.24609375,0.68359375,151
1,0,7,15,8,cyclic,0.4150052751813616,0,0,151
1,1,7,15,8,cyclic,0.03581702190896739,0,0,151
1,2,7,15,8,cyclic,0.19388866424560547,0,0,151
1,3,7,15,8,cyclic,0.026738643646240234,0,0,151
1,4,7,15,8,cyclic,0.4463235955489309,0.1953125,0,147
1,5,7,15,8,cyclic,0.7912717546735492,0.29296875,0,135
1,6,7,15,8,cyclic,1.1352017720540364,0.68359375,0,125
1,7,7,15,8,cyclic,0.23942433232846466,0.5859375,0,151
1,8,7,15,8,cyclic,0.08931908240685096,0.29296875,0,151
1,9,7,15,8,cyclic,0.7706924438476562,0.48828125,0,138
1,10,7,15,8,cyclic,0.38523101806640625,0.87890625,0.390625,137
1,11,7,15,8,cyclic,0.13129588535853795,0.9765625,0.09765625,151
1,12,7,15,8,cyclic,0.8247266496930804,0.29296875,0,150
1,13,7,15,8,cyclic,0.7087370554606119,0.390625,0,144
1,14,7,15,8,cyclic,0.044934590657552086,0,0,140
1,15,7,15,8,cyclic,0.8732428917518029,0.09765625,0,128
2,0,7,21,12,cyclic,0.0030794062166128225,0,0,122
2,1,7,21,12,cyclic,0.16696197818024047,0,0,151
2,2,7,21,12,cyclic,0.18328993055555523,0,0,134
2,3,7,21,12,cyclic,0.63401598808093,0.09765625,0,134
2,4,7,21,12,cyclic,0.8175911070808544,0,0,141
2,5,7,21,12,cyclic,0.29748229980468643,0,0,148
2,6,7,21,12,cyclic,0.3305799696180552,0.09765625,0,138
2,7,7,21,12,cyclic,0.15806927597313572,0.1953125,0,138
2,8,7,21,12,cyclic,0.188477795533458,0,0,146
2,9,7,21,12,cyclic,0.4101693289620551,0.09765625,0.09765625,151
2,10,7,21,12,cyclic,0.28019267380839374,0,0,124
2,11,7,21,12,cyclic,0.3987287554824556,0.09765625,0.09765625,151
2,12,7,21,12,cyclic,0.2924588521321596,0.29296875,0,141
2,13,7,21,12,cyclic,0.30350821358816965,0,0,151
2,14,7,21,12,cyclic,0.8104227701822886,0,0,147
2,15,7,21,12,cyclic,0.23479139539930546,0,0,151
3,0,7,28,15,cyclic,0.5881417410714274,0,0,118
3,1,7,28,15,cyclic,0.6296692708333336,0,0,125
3,2,7,28,15,cyclic,0.5763941271551695,0,0,151
3,3,7,28,15,cyclic,0.35257062815656176,0,0,144
3,4,7,28,15,cyclic,0.41112158764367807,0.09765625,0,151
3,5,7,28,15,cyclic,0.42692792338709634,0,0,150
3,6,7,28,15,cyclic,0.40872757523147996,0.09765625,0,118
3,7,7,28,15,cyclic,0.6896602746212097,0,0,124
3,8,7,28,15,cyclic,0.32133463541666474,0,0,145
3,9,7,28,15,cyclic,0.21362375452898363,0,0,134
3,10,7,28,15,cyclic,1.7006587009803937,0.09765625,0,131
3,11,7,28,15,cyclic,0.6572800409226173,0,0,140
3,12,7,28,15,cyclic,0.5615402385752688,0,0,118
3,13,7,28,15,cyclic,1.5060384114583298,0,0,116
