pkid,pbid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
0,0,1,6,3,penalty,43.45206874999999,11.49,1.2
0,1,1,6,3,penalty,54.01447499999999,8.25,1.9900000000000002
0,2,1,6,3,penalty,57.13547142857142,13.48,3.92
0,3,1,6,3,penalty,33.61493333333334,22.499999999999996,3.16
0,4,1,6,3,penalty,140.14656000000002,17.759999999999998,6.47
0,5,1,6,3,penalty,44.00585263157895,4.45,0.38
0,6,1,6,3,penalty,44.15483888888888,5.08,1.26
0,7,1,6,3,penalty,35.88393043478259,5.11,0.06
0,8,1,6,3,penalty,93.30672500000001,9.030000000000001,1.55
0,9,1,6,3,penalty,43.64445882352942,18.66,1.0
0,0,2,6,3,penalty,39.909243749999995,13.599999999999998,8.799999999999999
0,1,2,6,3,penalty,30.89396249999999,25.96,7.4399999999999995
0,2,2,6,3,penalty,43.179842857142866,9.53,3.8600000000000003
0,3,2,6,3,penalty,16.31901428571428,47.42,46.51
0,4,2,6,3,penalty,138.535,8.17,1.7000000000000002
0,5,2,6,3,penalty,34.605868421052634,7.02,3.2199999999999998
0,6,2,6,3,penalty,32.15399999999999,21.830000000000002,1.7500000000000002
0,7,2,6,3,penalty,38.02928695652174,8.049999999999999,2.94
0,8,2,6,3,penalty,67.59934999999997,17.509999999999998,0.29
0,9,2,6,3,penalty,41.07598823529414,12.8,6.21
0,0,3,6,3,penalty,28.38498749999998,24.000000000000004,0.52
0,1,3,6,3,penalty,43.71099999999999,15.8,0.37
0,2,3,6,3,penalty,48.2158,21.6,3.1199999999999997
0,3,3,6,3,penalty,34.599452380952386,12.6,0.27999999999999997
0,4,3,6,3,penalty,124.95544,14.250000000000002,4.67
0,5,3,6,3,penalty,35.810273684210486,9.73,3.06
0,6,3,6,3,penalty,44.66182222222224,8.129999999999999,0.22999999999999998
0,7,3,6,3,penalty,29.20314782608697,5.499999999999999,0.62
0,8,3,6,3,penalty,63.431875000000005,13.07,4.38
0,9,3,6,3,penalty,29.569205882352936,17.470000000000002,0.65
0,0,4,6,3,penalty,36.15810000000001,4.8100000000000005,0.22999999999999998
0,1,4,6,3,penalty,38.40848750000001,17.330000000000002,0.5
0,2,4,6,3,penalty,35.654828571428574,10.329999999999998,1.21
0,3,4,6,3,penalty,21.170671428571428,49.49,47.13
0,4,4,6,3,penalty,84.38145999999999,26.61,4.54
0,5,4,6,3,penalty,28.339236842105272,26.06,19.12
0,6,4,6,3,penalty,29.659938888888885,10.32,2.7
0,7,4,6,3,penalty,24.523043478260853,26.82,2.22
0,8,4,6,3,penalty,75.01843749999999,9.259999999999998,2.13
0,9,4,6,3,penalty,32.94582352941176,26.839999999999996,3.32
0,0,5,6,3,penalty,29.653518750000007,30.930000000000003,1.82
0,1,5,6,3,penalty,35.97661250000002,30.45,21.93
0,2,5,6,3,penalty,44.26767142857144,17.18,3.2300000000000004
0,3,5,6,3,penalty,27.484042857142846,19.09,2.2800000000000002
0,4,5,6,3,penalty,128.63097999999997,13.059999999999999,0.27
0,5,5,6,3,penalty,32.001521052631574,16.63,12.06
0,6,5,6,3,penalty,32.301222222222215,14.05,0.95
0,7,5,6,3,penalty,26.752517391304345,8.959999999999999,4.99
0,8,5,6,3,penalty,85.9579625,14.49,2.04
0,9,5,6,3,penalty,27.342382352941176,26.0,5.319999999999999
0,0,1,6,3,cyclic,25.838843750000002,25.240000000000002,0.4
0,1,1,6,3,cyclic,35.0382875,16.93,0.98
0,2,1,6,3,cyclic,31.500028571428572,40.86,0
0,3,1,6,3,cyclic,18.458438095238094,28.57,0.8500000000000001
0,4,1,6,3,cyclic,96.30959999999997,35.89,25.869999999999997
0,5,1,6,3,cyclic,23.97356315789474,36.94,7.9799999999999995
0,6,1,6,3,cyclic,18.96896111111111,32.60999999999999,0.01
0,7,1,6,3,cyclic,18.801326086956525,25.840000000000003,1.7999999999999998
0,8,1,6,3,cyclic,75.79385000000002,9.94,0.21
0,9,1,6,3,cyclic,30.700952941176478,26.339999999999996,15.22
0,0,2,6,3,cyclic,29.140006250000006,22.830000000000002,0.47000000000000003
0,1,2,6,3,cyclic,28.089425000000002,32.349999999999994,1.47
0,2,2,6,3,cyclic,38.12137142857143,20.53,0.02
0,3,2,6,3,cyclic,15.116999999999994,53.23,0.11
0,4,2,6,3,cyclic,27.937120000000004,77.78,2.98
0,5,2,6,3,cyclic,27.774573684210534,10.66,3.19
0,6,2,6,3,cyclic,10.836350000000003,57.67,0
0,7,2,6,3,cyclic,7.7921695652173915,62.51,13.8
0,8,2,6,3,cyclic,7.958749999999998,93.33999999999999,0
0,9,2,6,3,cyclic,22.287682352941175,31.71,0.02
0,0,3,6,3,cyclic,19.843712500000006,40.959999999999994,8.76
0,1,3,6,3,cyclic,18.25525,46.620000000000005,0.9900000000000001
0,2,3,6,3,cyclic,28.99188571428571,22.96,1.77
0,3,3,6,3,cyclic,13.99391428571429,42.78999999999999,33.68
0,4,3,6,3,cyclic,58.97328000000001,43.809999999999995,10.5
0,5,3,6,3,cyclic,15.127810526315793,41.23,2.86
0,6,3,6,3,cyclic,17.38912222222222,38.62,1.43
0,7,3,6,3,cyclic,14.52559565217391,36.809999999999995,0.03
0,8,3,6,3,cyclic,53.14837500000001,36.33,25.259999999999998
0,9,3,6,3,cyclic,14.208823529411765,52.779999999999994,0.13
0,0,4,6,3,cyclic,18.53911875,41.85,0.02
0,1,4,6,3,cyclic,5.3148125,82.13,63.4
0,2,4,6,3,cyclic,13.545028571428569,58.48,50.91
0,3,4,6,3,cyclic,15.495771428571432,39.93000000000001,1.05
0,4,4,6,3,cyclic,60.28023999999999,42.699999999999996,4.14
0,5,4,6,3,cyclic,16.29302631578946,28.809999999999995,10.09
0,6,4,6,3,cyclic,13.159322222222222,44.06,0.03
0,7,4,6,3,cyclic,4.093091304347826,83.07,0.04
0,8,4,6,3,cyclic,50.40847499999998,18.6,6.78
0,9,4,6,3,cyclic,8.972917647058827,74.74000000000001,0.38
0,0,5,6,3,cyclic,9.373531249999997,70.54,4.31
0,1,5,6,3,cyclic,26.10664999999999,21.37,0.9900000000000001
0,2,5,6,3,cyclic,6.822285714285714,81.59999999999998,0.01
0,3,5,6,3,cyclic,21.070419047619055,28.32,1.8900000000000001
0,4,5,6,3,cyclic,73.01263999999999,34.839999999999996,0.06999999999999999
0,5,5,6,3,cyclic,20.890094736842105,22.18,0.91
0,6,5,6,3,cyclic,12.943961111111113,62.93000000000001,46.63
0,7,5,6,3,cyclic,10.801760869565213,49.58,0.5499999999999999
0,8,5,6,3,cyclic,61.190125,14.780000000000001,5.17
0,9,5,6,3,cyclic,8.203247058823527,75.24999999999999,0.02
0,0,1,6,3,commute,0.43760625,100.0,0.06999999999999999
0,1,1,6,3,commute,0.0,100.0,100.0
0,2,1,6,3,commute,0.0002571428571428923,100.0,99.97
0,3,1,6,3,commute,0.19047619047619047,100.0,0
0,4,1,6,3,commute,0.8012799999999999,100.0,0.08
0,5,1,6,3,commute,0.0,100.0,100.0
0,6,1,6,3,commute,0.0,100.0,100.0
0,7,1,6,3,commute,0.2176434782608696,99.99999999999999,0.02
0,8,1,6,3,commute,0.0,100.0,100.0
0,9,1,6,3,commute,0.0,100.0,100.0
0,0,2,6,3,commute,0.3350187499999999,100.0,25.7
0,1,2,6,3,commute,0.0,100.0,100.0
0,2,2,6,3,commute,0.014342857142857086,100.0,98.71
0,3,2,6,3,commute,0.1794666666666666,100.0,16.8
0,4,2,6,3,commute,0.0002000000000000668,100.0,99.99
0,5,2,6,3,commute,0.0,100.0,100.0
0,6,2,6,3,commute,0.0,100.0,100.0
0,7,2,6,3,commute,0.16665217391304357,100.0,34.82
0,8,2,6,3,commute,0.8877999999999999,100.0,69.12
0,9,2,6,3,commute,0.029517647058823284,100.0,88.3
0,0,3,6,3,commute,0.004856250000000006,99.99999999999999,99.11999999999999
0,1,3,6,3,commute,0.20500000000000007,100.0,79.13
0,2,3,6,3,commute,0.10225714285714282,100.0,88.36
0,3,3,6,3,commute,0.00045714285714280677,100.0,99.79
0,4,3,6,3,commute,0.0,100.0,100.0
0,5,3,6,3,commute,0.0009578947368421167,100.0,99.86
0,6,3,6,3,commute,0.05561111111111118,100.0,0.1
0,7,3,6,3,commute,9.565217391312949e-05,100.0,99.99
0,8,3,6,3,commute,0.20128750000000006,100.0,92.75999999999999
0,9,3,6,3,commute,0.19164705882352936,100.0,22.08
0,0,4,6,3,commute,0.09552500000000008,100.0,85.2
0,1,4,6,3,commute,0.08127499999999999,100.0,91.78
0,2,4,6,3,commute,0.12891428571428573,100.0,86.16
0,3,4,6,3,commute,0.021152380952381054,100.0,90.14999999999999
0,4,4,6,3,commute,0.009320000000000129,99.99999999999999,98.94
0,5,4,6,3,commute,0.0493000000000001,100.0,93.22
0,6,4,6,3,commute,0.016166666666666687,99.99999999999999,72.5
