pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs,iteration_count
0,1,6,3,HEA,1.0455671944344458,99.921875,0.0,151.0
0,1,6,3,commute,0.16498851073207815,100.0,60.05859375,29.2
0,1,6,3,cyclic,41.509743286070474,22.08984375,3.857421875,32.2
0,1,6,3,penalty,53.457285304723804,10.4296875,2.216796875,34.6
0,2,6,3,HEA,5.865947493990252,90.087890625,0.0,151.0
0,2,6,3,commute,0.12191319526654576,100.0,70.17578125,48.6
0,2,6,3,cyclic,25.863806165747235,35.99609375,4.443359375,55.5
0,2,6,3,penalty,54.10329991996322,11.904296875,3.525390625,49.4
0,3,6,3,HEA,41.457437828612065,30.166015625,5.830078125,151.0
0,3,6,3,commute,0.24305944999202186,100.0,63.9453125,73.2
0,3,6,3,cyclic,19.444429323854216,52.63671875,6.611328125,76.8
0,3,6,3,penalty,46.8308104043244,17.36328125,2.59765625,75.4
0,4,6,3,HEA,44.01248616376837,26.875,6.69921875,151.0
0,4,6,3,commute,0.136480769378794,100.0,75.64453125,90.4
0,4,6,3,cyclic,22.99320760720241,40.4296875,13.984375,97.2
0,4,6,3,penalty,47.47432828400254,14.0625,3.603515625,88.2
0,5,6,3,HEA,52.56539562300319,17.275390625,3.96484375,151.0
0,5,6,3,commute,0.14832251998816307,100.0,84.443359375,106.0
0,5,6,3,cyclic,27.44267873588014,37.1875,10.146484375,117.6
0,5,6,3,penalty,39.403448507071055,21.2109375,8.935546875,112.2
0,6,6,3,HEA,48.46641064182343,19.521484375,8.0078125,151.0
0,6,6,3,commute,0.05572017749447579,100.0,84.16015625,127.3
0,6,6,3,cyclic,23.774259560495587,43.515625,3.896484375,138.2
0,6,6,3,penalty,43.11942902841677,14.39453125,3.84765625,129.7
0,7,6,3,HEA,44.91272771759881,26.435546875,8.90625,151.0
0,7,6,3,commute,0.06144704551153862,100.0,90.8203125,145.4
0,7,6,3,cyclic,15.258196117926664,58.857421875,13.828125,150.8
0,7,6,3,penalty,38.96104405505364,22.021484375,3.7890625,143.6
1,1,15,8,HEA,57.879326121927775,3.564453125,0.0,151.0
1,1,15,8,commute,0.2990010372744113,100.0,46.015625,28.9
1,1,15,8,cyclic,77.90681888216339,3.095703125,0.263671875,34.5
1,1,15,8,penalty,151.8763617229204,0.107421875,0.0,30.7
1,2,15,8,HEA,122.22790972929901,0.224609375,0.01953125,151.0
1,2,15,8,commute,0.39095759817691206,100.0,37.4609375,50.1
1,2,15,8,cyclic,65.14802106817392,2.783203125,0.263671875,50.6
1,2,15,8,penalty,111.94049711184107,0.33203125,0.009765625,50.5
