pkid,layers,variables,constraints,method,ARG,in_constraints_probs,best_solution_probs
0,1,6,3,HEA,1.240018863046897,99.788,0.0
0,1,6,3,commute,0.16472630615942027,100.0,60.013999999999996
0,1,6,3,cyclic,37.53838512138055,27.915999999999997,5.332
0,1,6,3,penalty,58.935931429068454,11.581,2.099
0,2,6,3,HEA,31.394858764251854,21.812,2.5700000000000003
0,2,6,3,commute,0.161299809478139,100.0,73.344
0,2,6,3,cyclic,21.505444828094053,46.261,2.2060000000000004
0,2,6,3,penalty,48.23015570057256,17.189,8.272
0,3,6,3,HEA,37.0717031871767,37.159000000000006,8.158
0,3,6,3,commute,0.07621697525596813,100.0,78.119
0,3,6,3,cyclic,25.44577694301237,40.291,8.541
0,3,6,3,penalty,48.254300449582495,14.215,1.7899999999999998
0,4,6,3,HEA,48.77043526996118,15.665000000000001,2.47
0,4,6,3,commute,0.13905711082693945,100.0,86.14
0,4,6,3,cyclic,20.61018037394183,51.437,13.684000000000001
0,4,6,3,penalty,40.62600277386668,20.787,8.309999999999999
0,5,6,3,HEA,44.82136093845067,31.173000000000002,9.655
0,5,6,3,commute,0.0852014709869836,100.0,85.702
0,5,6,3,cyclic,25.04147147882467,46.138999999999996,6.055000000000001
0,5,6,3,penalty,47.03684310548136,19.084,5.489
1,1,15,8,HEA,60.14205903481081,0.020999999999999998,0.0
1,1,15,8,commute,0.296843010450334,100.0,45.911
1,1,15,8,cyclic,64.39824548867648,4.157,0.373
1,1,15,8,penalty,129.32510969130982,0.31599999999999995,0.01399999999999999
1,2,15,8,HEA,108.89051384890777,0.23000000000000004,0.003
1,2,15,8,commute,0.28547421270937523,100.0,51.54600000000001
1,2,15,8,cyclic,58.3924895771933,7.111,0.40199999999999997
1,2,15,8,penalty,100.12393994178326,1.1150000000000002,0.013000000000000001
1,3,15,8,HEA,134.40768203824805,0.10699999999999998,0.003
1,3,15,8,commute,0.41267166528500737,99.99999999999999,41.265
1,3,15,8,cyclic,60.352793487600046,5.96,0.02199999999999999
1,3,15,8,penalty,108.57810499359928,0.6359999999999999,0.132
1,4,15,8,HEA,146.21687024011396,0.098,0.015
1,4,15,8,commute,0.4938573485920684,99.99999999999999,33.545
1,4,15,8,cyclic,53.73260647038978,8.548,1.129
1,4,15,8,penalty,92.97554975363465,1.0690000000000002,0.136
1,5,15,8,HEA,151.2872735805654,0.092,0.004
1,5,15,8,commute,0.48060096543111186,100.0,36.803999999999995
1,5,15,8,cyclic,65.05130588005929,4.4430000000000005,1.0020000000000002
1,5,15,8,penalty,90.35745523506063,2.6930000000000005,1.052
2,1,21,12,HEA,100.29154799134696,0.012,0.0
2,1,21,12,commute,0.4995528497897941,100.0,11.441999999999998
2,1,21,12,cyclic,87.19038310616386,1.1190000000000002,0.006
2,1,21,12,penalty,152.28773049780452,0.018,0.001
2,2,21,12,HEA,150.35246436415366,0.005,0.0
2,2,21,12,commute,0.4849188446790567,99.99999999999999,8.761
2,2,21,12,cyclic,75.52182776030392,3.0999999999999996,0.068
2,2,21,12,penalty,135.10269936508976,0.045,0.002
2,3,21,12,HEA,169.92439765204142,0.002,0.001
2,3,21,12,commute,0.5675698159296566,100.0,20.860000000000003
2,3,21,12,cyclic,70.11662024008449,4.108,0.044
2,3,21,12,penalty,126.47902539198324,0.086,0.002
2,4,21,12,HEA,181.20453459602288,0.002,0.0
2,4,21,12,commute,0.5394933284021366,99.99999999999999,23.035999999999998
2,4,21,12,cyclic,86.83444934202757,0.48900000000000005,0.006
2,4,21,12,penalty,126.36531916919753,0.04399999999999999,0.006
2,5,21,12,HEA,183.50219241230545,0.002,0.0
2,5,21,12,commute,0.54964345406355,99.99999999999999,10.508999999999999
2,5,21,12,cyclic,76.04997513557292,1.2449999999999999,0.012
2,5,21,12,penalty,115.52973600578551,0.03199999999999999,0.00899999999999999
3,1,28,15,HEA,204.09286266818816,0.0,0.0
3,1,28,15,commute,0.34034153811734075,100.0,12.107000000000001
3,1,28,15,cyclic,97.93990523892506,1.471,0.05900000000000001
3,1,28,15,penalty,235.4683310190297,0.0,0.0
3,2,28,15,HEA,238.79791383381075,0.0,0.0
3,2,28,15,commute,0.31381015262697837,100.0,14.841999999999999
3,2,28,15,cyclic,81.41929978248233,0.986,0.016999999999999998
3,2,28,15,penalty,178.8421400638044,0.001,0.0
3,3,28,15,HEA,255.63686598654732,0.0,0.0
3,3,28,15,commute,0.4263627644724914,99.99999999999999,12.612
3,3,28,15,cyclic,73.04402253602072,3.772,0.045
3,3,28,15,penalty,165.19497135136206,0.009,0.0
3,4,28,15,HEA,261.1651545175073,0.0,0.0
3,4,28,15,commute,0.5038092178319975,99.99999999999997,10.558
3,4,28,15,cyclic,87.88286385176585,2.278,0.27399999999999997
3,4,28,15,penalty,163.1326516691764,0.005,0.0
3,5,28,15,HEA,262.4390314928528,0.0,0.0
3,5,28,15,commute,0.4816388890098694,99.99999999999994,11.475
3,5,28,15,cyclic,73.63305510995416,6.969000000000001,0.037
3,5,28,15,penalty,184.73746062997412,0.008,0.002
4,1,15,9,HEA,1050.2096000000004,0.0,0.0
4,1,15,9,commute,0.25061666666666665,100.0,49.876666666666665
4,1,15,9,cyclic,520.3047166666665,2.1,0.006666666666666667
4,1,15,9,penalty,1440.8471000000052,0.09666666666666668,0.05333333333333332
4,2,15,9,HEA,1348.5542666666656,0.056666666666666664,0.03
4,2,15,9,commute,0.08368333333333337,100.0,83.26333333333334
4,2,15,9,cyclic,533.6692333333341,1.1766666666666665,0.02666666666666667
4,2,15,9,penalty,1364.8808166666622,0.03,0.016666666666666666
4,3,15,9,HEA,1561.9796833333323,0.05333333333333334,0.016666666666666666
4,3,15,9,commute,0.08463333333333323,100.0,83.07333333333334
4,3,15,9,cyclic,186.18601666666663,59.849999999999994,0.016666666666666666
4,3,15,9,penalty,1471.9914333333418,0.11333333333333334,0.049999999999999996
4,4,15,9,HEA,1688.6094166666715,0.03,0.013333333333333334
4,4,15,9,commute,0.08680000000000003,100.00000000000001,82.64
4,4,15,9,cyclic,220.84131666666644,29.763333333333335,0.043333333333333335
4,4,15,9,penalty,1123.7391166666648,0.22666666666666666,0.16666666666666663
4,5,15,9,HEA,1705.4059000000098,0.08,0.04666666666666667
4,5,15,9,commute,0.08594999999999998,100.0,82.81
4,5,15,9,cyclic,301.977083333333,42.46,0.06
4,5,15,9,penalty,871.1987333333394,0.9633333333333333,0.23666666666666666
5,1,20,8,HEA,1293.2935083333352,0.0,0.0
5,1,20,8,commute,0.4163916666666669,100.0,26.583333333333332
5,1,20,8,cyclic,332.5325083333335,21.911666666666665,0.014999999999999984
5,1,20,8,penalty,1786.3671999999988,0.36499999999999994,0.09166666666666667
5,2,20,8,HEA,1869.732641666683,0.005,0.0016666666666666668
5,2,20,8,commute,0.3048500000000001,99.99999999999999,44.11166666666667
5,2,20,8,cyclic,124.68763333333341,69.80333333333333,0.13833333333333334
5,2,20,8,penalty,2059.824700000027,0.09166666666666667,0.013333333333333334
5,3,20,8,HEA,2135.256125000037,0.02,0.005
5,3,20,8,commute,0.2491500000000001,100.0,53.9
5,3,20,8,cyclic,92.70555833333349,74.66833333333332,0.3383333333333332
5,3,20,8,penalty,1281.4602166666857,1.0350000000000015,0.31333333333333324
5,4,20,8,HEA,2277.2335833333905,0.03166666666666667,0.008333333333333333
5,4,20,8,commute,0.19437499999999977,99.99999999999996,63.39666666666667
5,4,20,8,cyclic,134.4544,53.304999999999986,0.45166666666666666
5,4,20,8,penalty,1191.2663500000174,0.38666666666666644,0.10499999999999998
5,5,20,8,HEA,2337.579308333396,0.018333333333333337,0.0016666666666666668
5,5,20,8,commute,0.2378666666666667,99.99999999999999,54.76499999999999
5,5,20,8,cyclic,154.41290833333343,58.794999999999995,0.07833333333333332
5,5,20,8,penalty,1619.0484666666887,0.1733333333333333,0.034999999999999996
6,1,24,12,HEA,2064.059750000016,0.001,0.0
6,1,24,12,commute,0.46911,100.0,13.522
6,1,24,12,cyclic,322.26272,59.402,0.0
6,1,24,12,penalty,2547.820475000107,0.008,0.004
6,2,24,12,HEA,2710.185210000153,0.001,0.0
6,2,24,12,commute,0.369705,100.0,31.35
6,2,24,12,cyclic,315.58078500000096,59.088,0.004
6,2,24,12,penalty,1681.0964200000387,0.088,0.016
6,3,24,12,HEA,2944.2399250001768,0.0,0.0
6,3,24,12,commute,0.30733499999999986,99.99999999999999,44.844
6,3,24,12,cyclic,237.34796000000043,62.916999999999994,0.008
6,3,24,12,penalty,1673.9573550000464,0.34799999999999953,0.061999999999999965
6,4,24,12,HEA,3112.2454900001876,0.002,0.0
6,4,24,12,commute,0.256865,100.0,51.693000000000005
6,4,24,12,cyclic,325.97083000000123,43.558,0.012
6,4,24,12,penalty,1441.9293050000185,0.24999999999999986,0.038
6,5,24,12,HEA,3145.0728500001887,0.001,0.0
6,5,24,12,commute,0.25091,100.0,52.402
6,5,24,12,cyclic,123.62855500000009,61.56199999999999,0.13299999999999998
6,5,24,12,penalty,1755.566915000058,0.4950000000000004,0.11899999999999995
7,1,28,16,HEA,2859.9185150001135,0.0,0.0
7,1,28,16,commute,0.559155,100.0,0.9969999999999999
7,1,28,16,cyclic,708.6623349999987,38.017,0.0
7,1,28,16,penalty,3116.917700000109,0.003,0.001
7,2,28,16,HEA,3599.1004000001835,0.0,0.0
7,2,28,16,commute,0.5488299999999999,100.0,3.5170000000000003
7,2,28,16,cyclic,952.5675200000009,19.978,0.0
7,2,28,16,penalty,2516.2666250000975,0.005,0.001
7,3,28,16,HEA,3849.71356000016,0.0,0.0
7,3,28,16,commute,0.5058,100.0,13.229
